EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000981092453003,0,1,INITIAL_BUFFERING,Writing,45226
0.00739002227783,0,1,PLAY,InitialBuffering-Play,0
0.00936794281006,0,0,PLAY,StillPlaying,45226
0.310259103775,0,1,PLAY,Writing,88783.0
0.756783008575,0,2,PLAY,Writing,128503.0
1.42304706573,1,3,PLAY,Writing,177437.0
2.33537006378,2,4,PLAY,Writing,217761.0
3.0664730072,3,5,PLAY,Writing,255865.0
3.69611501694,3,6,PLAY,Writing,323047.0
4.013890028,4,5,PLAY,StillPlaying,88783.0
5.14276003838,5,6,PLAY,Writing,378355.0
6.99394702911,6,7,PLAY,Writing,509091.0
8.01407909393,8,6,PLAY,StillPlaying,128503.0
9.32636809349,9,7,PLAY,Writing,577751.0
12.0140500069,12,6,PLAY,StillPlaying,177437.0
13.0195081234,13,7,PLAY,Writing,782553.0
16.0140609741,16,6,PLAY,StillPlaying,217761.0
17.6320199966,17,7,PLAY,Writing,1008699.0
20.0140340328,20,6,PLAY,StillPlaying,255865.0
21.3700881004,21,7,PLAY,Writing,782553.0
24.0140450001,24,6,PLAY,StillPlaying,323047.0
25.3775789738,25,7,PLAY,Writing,1008699.0
28.0140521526,28,6,PLAY,StillPlaying,378355.0
31.2143549919,31,7,PLAY,Writing,782553.0
32.0139729977,32,6,PLAY,StillPlaying,509091.0
34.1635930538,34,7,PLAY,Writing,577751.0
36.014029026,36,6,PLAY,StillPlaying,577751.0
37.9292471409,37,7,PLAY,Writing,782553.0
40.0140190125,40,6,PLAY,StillPlaying,782553.0
40.7689430714,40,7,PLAY,Writing,577751.0
44.014067173,44,6,PLAY,StillPlaying,1008699.0
44.0565371513,44,7,PLAY,Writing,782553.0
45.9752550125,45,8,PLAY,Writing,577751.0
48.0140559673,48,7,PLAY,StillPlaying,782553.0
49.122344017,49,8,PLAY,Writing,782553.0
51.6588189602,51,9,PLAY,Writing,577751.0
52.0139341354,52,8,PLAY,StillPlaying,1008699.0
54.4460289478,54,9,PLAY,Writing,782553.0
56.014026165,56,8,PLAY,StillPlaying,782553.0
57.2220790386,57,9,PLAY,Writing,1008699.0
59.3322999477,59,10,PLAY,Writing,782553.0
60.013931036,60,9,PLAY,StillPlaying,577751.0
62.0004091263,61,10,PLAY,Writing,1008699.0
64.0140330791,64,9,PLAY,StillPlaying,782553.0
65.7501251698,65,10,PLAY,Writing,782553.0
68.014067173,68,9,PLAY,StillPlaying,577751.0
72.014070034,72,8,PLAY,StillPlaying,782553.0
73.7462570667,73,9,PLAY,Writing,1008699.0
76.0139901638,76,8,PLAY,StillPlaying,577751.0
77.1059560776,77,9,PLAY,Writing,577751.0
80.0139980316,80,8,PLAY,StillPlaying,782553.0
84.0140421391,84,7,PLAY,StillPlaying,577751.0
84.5645520687,84,8,PLAY,Writing,782553.0
88.0140650272,88,7,PLAY,StillPlaying,782553.0
88.1603960991,88,8,PLAY,Writing,378355.0
92.0144579411,92,7,PLAY,StillPlaying,1008699.0
93.7354471684,93,8,PLAY,Writing,509091.0
96.0145521164,96,7,PLAY,StillPlaying,782553.0
96.4456670284,96,8,PLAY,Writing,378355.0
100.014055967,100,7,PLAY,StillPlaying,1008699.0
100.65060401,100,8,PLAY,Writing,509091.0
104.014600039,104,7,PLAY,StillPlaying,782553.0
104.791319132,104,8,PLAY,Writing,378355.0
108.014080048,108,7,PLAY,StillPlaying,1008699.0
108.972906113,108,8,PLAY,Writing,509091.0
112.014434099,112,7,PLAY,StillPlaying,577751.0
112.634282112,112,8,PLAY,Writing,378355.0
116.01405406,116,7,PLAY,StillPlaying,782553.0
116.79451704,116,8,PLAY,Writing,509091.0
119.426892996,119,9,PLAY,Writing,378355.0
120.014439106,120,8,PLAY,StillPlaying,378355.0
123.09475708,123,9,PLAY,Writing,509091.0
124.014423132,124,8,PLAY,StillPlaying,509091.0
125.060435057,125,9,PLAY,Writing,378355.0
128.014068127,128,8,PLAY,StillPlaying,378355.0
129.086143017,129,9,PLAY,Writing,509091.0
132.015923023,132,8,PLAY,StillPlaying,509091.0
133.45025897,133,9,PLAY,Writing,378355.0
136.014026165,136,8,PLAY,StillPlaying,378355.0
139.006366968,138,9,PLAY,Writing,509091.0
140.013986111,140,8,PLAY,StillPlaying,509091.0
141.669100046,141,9,PLAY,Writing,323047.0
144.014055967,144,8,PLAY,StillPlaying,378355.0
144.548467159,144,9,PLAY,Writing,255865.0
148.014541149,148,8,PLAY,StillPlaying,509091.0
148.047702074,148,9,PLAY,Writing,323047.0
150.415771008,150,10,PLAY,Writing,255865.0
152.014512062,152,9,PLAY,StillPlaying,378355.0
152.240272045,152,10,PLAY,Writing,323047.0
156.014309168,156,9,PLAY,StillPlaying,509091.0
156.619102955,156,10,PLAY,Writing,378355.0
158.517030954,158,11,PLAY,Writing,323047.0
160.014033079,160,10,PLAY,StillPlaying,378355.0
164.0140481,164,9,PLAY,StillPlaying,509091.0
164.850455046,164,10,PLAY,Writing,378355.0
167.632188082,167,11,PLAY,Writing,509091.0
168.014491081,168,10,PLAY,StillPlaying,378355.0
172.014024019,172,9,PLAY,StillPlaying,509091.0
174.033040047,174,10,PLAY,Writing,378355.0
176.014026165,176,9,PLAY,StillPlaying,323047.0
177.033734083,177,10,PLAY,Writing,509091.0
180.014116049,180,9,PLAY,StillPlaying,255865.0
180.214898109,180,10,PLAY,Writing,577751.0
183.123906136,183,11,PLAY,Writing,782553.0
184.014006138,184,10,PLAY,StillPlaying,323047.0
188.014023066,188,9,PLAY,StillPlaying,255865.0
190.427725077,190,10,PLAY,Writing,577751.0
192.013992071,192,9,PLAY,StillPlaying,323047.0
194.613926172,194,10,PLAY,Writing,782553.0
196.014034986,196,9,PLAY,StillPlaying,378355.0
197.49360013,197,10,PLAY,Writing,577751.0
200.014578104,200,9,PLAY,StillPlaying,323047.0
201.174746037,201,10,PLAY,Writing,782553.0
204.014528036,204,9,PLAY,StillPlaying,378355.0
204.038360119,204,10,PLAY,Writing,577751.0
208.014047146,208,9,PLAY,StillPlaying,509091.0
208.200083017,208,10,PLAY,Writing,782553.0
211.19017911,211,11,PLAY,Writing,577751.0
212.01442194,212,10,PLAY,StillPlaying,378355.0
216.014053106,216,9,PLAY,StillPlaying,509091.0
219.767323017,219,10,PLAY,Writing,782553.0
220.0138731,220,9,PLAY,StillPlaying,577751.0
223.392831087,223,10,PLAY,Writing,577751.0
224.013923168,224,9,PLAY,StillPlaying,782553.0
227.925487995,227,10,PLAY,Writing,782553.0
228.014374018,228,9,PLAY,StillPlaying,577751.0
231.268136024,231,10,PLAY,Writing,577751.0
232.013915062,232,9,PLAY,StillPlaying,782553.0
234.516575098,234,10,PLAY,Writing,509091.0
236.01403904,236,9,PLAY,StillPlaying,577751.0
238.529282093,238,10,PLAY,Writing,577751.0
240.014045,240,9,PLAY,StillPlaying,782553.0
241.20919013,241,10,PLAY,Writing,509091.0
244.014034986,244,9,PLAY,StillPlaying,577751.0
244.707139969,244,10,PLAY,Writing,577751.0
248.014055967,248,9,PLAY,StillPlaying,782553.0
248.48400116,248,10,PLAY,Writing,782553.0
250.827296019,250,11,PLAY,Writing,577751.0
252.01405406,252,10,PLAY,StillPlaying,577751.0
256.01403594,256,9,PLAY,StillPlaying,782553.0
259.31065917,259,10,PLAY,Writing,782553.0
260.013996124,260,9,PLAY,StillPlaying,577751.0
263.339480162,263,10,PLAY,Writing,577751.0
264.013946056,264,9,PLAY,StillPlaying,782553.0
268.014544964,268,8,PLAY,StillPlaying,577751.0
