EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000769138336182,0,1,INITIAL_BUFFERING,Writing,45226
0.00555896759033,0,1,PLAY,InitialBuffering-Play,0
0.00785112380981,0,0,PLAY,StillPlaying,45226
0.122886180878,0,1,PLAY,Writing,45226
0.357274055481,0,2,PLAY,Writing,45226
0.551609992981,0,3,PLAY,Writing,45226
0.736391067505,0,4,PLAY,Writing,45226
0.929619073868,0,5,PLAY,Writing,45226
1.12431716919,1,6,PLAY,Writing,45226
1.25855016708,1,7,PLAY,Writing,45226
1.53751015663,1,8,PLAY,Writing,45226
1.88404011726,1,9,PLAY,Writing,88783
2.28213310242,2,10,PLAY,Writing,88783
2.82733607292,2,11,PLAY,Writing,128503
3.33558106422,3,12,PLAY,Writing,128503
3.84704303741,3,13,PLAY,Writing,128503
4.00931501389,4,12,PLAY,StillPlaying,45226
4.43760919571,4,13,PLAY,Writing,177437
4.92524600029,4,14,PLAY,Writing,177437
5.41958117485,5,15,PLAY,Writing,177437
5.99583101273,5,16,PLAY,Writing,217761
6.74264001846,6,17,PLAY,Writing,217761
7.51303815842,7,18,PLAY,Writing,217761
8.00942397118,8,17,PLAY,StillPlaying,45226
8.43362116814,8,18,PLAY,Writing,255865
9.38179016113,9,19,PLAY,Writing,255865
10.05677104,10,20,PLAY,Writing,255865
10.8900749683,10,21,PLAY,Writing,323047
11.5912339687,11,22,PLAY,Writing,323047
12.0094001293,12,21,PLAY,StillPlaying,45226
12.4784760475,12,22,PLAY,Writing,323047
13.4684941769,13,23,PLAY,Writing,323047
14.5831570625,14,24,PLAY,Writing,378355
15.6406781673,15,25,PLAY,Writing,378355
16.0094110966,16,24,PLAY,StillPlaying,45226
18.290060997,18,25,PLAY,Writing,509091
20.0095071793,20,24,PLAY,StillPlaying,45226
22.2626700401,22,25,PLAY,Writing,509091
23.3616390228,23,26,PLAY,Writing,509091
24.0102930069,24,25,PLAY,StillPlaying,45226
26.9992029667,26,26,PLAY,Writing,509091
28.0098741055,28,25,PLAY,StillPlaying,45226
28.6679000854,28,26,PLAY,Writing,509091
29.3837690353,29,27,PLAY,Writing,509091
30.0597500801,30,28,PLAY,Writing,509091
30.866309166,30,29,PLAY,Writing,577751
31.5448789597,31,30,PLAY,Writing,577751
32.0093359947,32,29,PLAY,StillPlaying,45226
32.4744169712,32,30,PLAY,Writing,782553
33.4307830334,33,31,PLAY,Writing,782553
34.4125370979,34,32,PLAY,Writing,782553
35.5324361324,35,33,PLAY,Writing,782553
36.0093970299,36,32,PLAY,StillPlaying,88783
36.7216050625,36,33,PLAY,Writing,1008699
37.7494909763,37,34,PLAY,Writing,1008699
39.0098800659,39,35,PLAY,Writing,1008699
40.0099360943,40,34,PLAY,StillPlaying,88783
42.2466750145,42,35,PLAY,Writing,1207152
44.0099921227,44,34,PLAY,StillPlaying,128503
47.7298541069,47,35,PLAY,Writing,1207152
48.0093560219,48,34,PLAY,StillPlaying,128503
51.0626699924,51,35,PLAY,Writing,1207152
52.0094771385,52,34,PLAY,StillPlaying,128503
52.7251291275,52,35,PLAY,Writing,1207152
55.2748100758,55,36,PLAY,Writing,1207152
56.0094091892,56,35,PLAY,StillPlaying,177437
56.9508061409,56,36,PLAY,Writing,1207152
58.7180559635,58,37,PLAY,Writing,1207152
60.0099589825,60,36,PLAY,StillPlaying,177437
60.6997771263,60,37,PLAY,Writing,1207152
63.3443191051,63,38,PLAY,Writing,1207152
64.0094921589,64,37,PLAY,StillPlaying,177437
66.3178100586,66,38,PLAY,Writing,1473801
68.0098640919,68,37,PLAY,StillPlaying,217761
68.7546579838,68,38,PLAY,Writing,1473801
70.3657660484,70,39,PLAY,Writing,1473801
72.0095121861,72,38,PLAY,StillPlaying,217761
72.9721491337,72,39,PLAY,Writing,1473801
75.1407620907,75,40,PLAY,Writing,1473801
76.0095720291,76,39,PLAY,StillPlaying,217761
78.6881201267,78,40,PLAY,Writing,2087347
80.0099260807,80,39,PLAY,StillPlaying,255865
81.9329750538,81,40,PLAY,Writing,2087347
84.0095171928,84,39,PLAY,StillPlaying,255865
85.764523983,85,40,PLAY,Writing,2087347
88.0099260807,88,39,PLAY,StillPlaying,255865
89.7548949718,89,40,PLAY,Writing,2087347
92.0099630356,92,39,PLAY,StillPlaying,323047
94.4038150311,94,40,PLAY,Writing,2087347
96.0095021725,96,39,PLAY,StillPlaying,323047
98.2816021442,98,40,PLAY,Writing,2087347
100.009457111,100,39,PLAY,StillPlaying,323047
101.772123098,101,40,PLAY,Writing,2087347
104.009495974,104,39,PLAY,StillPlaying,323047
105.199230194,105,40,PLAY,Writing,2087347
108.009508133,108,39,PLAY,StillPlaying,378355
109.088436127,109,40,PLAY,Writing,2087347
112.009505987,112,39,PLAY,StillPlaying,378355
113.519809961,113,40,PLAY,Writing,2087347
116.009507179,116,39,PLAY,StillPlaying,509091
117.649499178,117,40,PLAY,Writing,2087347
120.009943962,120,39,PLAY,StillPlaying,509091
122.410298109,122,40,PLAY,Writing,2087347
124.009953022,124,39,PLAY,StillPlaying,509091
128.009958982,128,38,PLAY,StillPlaying,509091
132.010770082,132,37,PLAY,StillPlaying,509091
136.009490967,136,36,PLAY,StillPlaying,509091
140.009510994,140,35,PLAY,StillPlaying,509091
142.005375147,141,36,PLAY,Writing,2087347
144.009503126,144,35,PLAY,StillPlaying,577751
148.009951115,148,34,PLAY,StillPlaying,577751
152.009961128,152,33,PLAY,StillPlaying,782553
156.009495974,156,32,PLAY,StillPlaying,782553
156.9365201,156,33,PLAY,Writing,1207152
160.009499073,160,32,PLAY,StillPlaying,782553
164.009981155,164,31,PLAY,StillPlaying,782553
166.311419964,166,32,PLAY,Writing,1008699
168.009860039,168,31,PLAY,StillPlaying,1008699
172.009529114,172,30,PLAY,StillPlaying,1008699
176.009490967,176,29,PLAY,StillPlaying,1008699
179.684311152,179,30,PLAY,Writing,782553
180.009382963,180,29,PLAY,StillPlaying,1207152
184.00950098,184,28,PLAY,StillPlaying,1207152
188.009472132,188,27,PLAY,StillPlaying,1207152
192.009500027,192,26,PLAY,StillPlaying,1207152
195.358055115,195,27,PLAY,Writing,782553
196.009955168,196,26,PLAY,StillPlaying,1207152
200.00951004,200,25,PLAY,StillPlaying,1207152
204.009992123,204,24,PLAY,StillPlaying,1207152
208.009981155,208,23,PLAY,StillPlaying,1207152
208.089462996,208,24,PLAY,Writing,509091
212.009515047,212,23,PLAY,StillPlaying,1207152
213.563018084,213,24,PLAY,Writing,378355
216.00951004,216,23,PLAY,StillPlaying,1473801
217.479083061,217,24,PLAY,Writing,378355
219.408864975,219,25,PLAY,Writing,378355
220.009373188,220,24,PLAY,StillPlaying,1473801
224.009997129,224,23,PLAY,StillPlaying,1473801
228.009520054,228,22,PLAY,StillPlaying,1473801
230.6671381,230,23,PLAY,Writing,509091
232.01000905,232,22,PLAY,StillPlaying,1473801
236.009502172,236,21,PLAY,StillPlaying,2087347
240.009509087,240,20,PLAY,StillPlaying,2087347
241.386227131,241,21,PLAY,Writing,378355
244.009526014,244,20,PLAY,StillPlaying,2087347
248.009482145,248,19,PLAY,StillPlaying,2087347
252.009512186,252,18,PLAY,StillPlaying,2087347
256.010023117,256,17,PLAY,StillPlaying,2087347
257.469194174,257,18,PLAY,Writing,323047
260.009521961,260,17,PLAY,StillPlaying,2087347
264.010023117,264,16,PLAY,StillPlaying,2087347
266.113677979,266,17,PLAY,Writing,255865
268.009945154,268,16,PLAY,StillPlaying,2087347
268.808778048,268,17,PLAY,Writing,217761
