EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000867128372192,0,1,INITIAL_BUFFERING,Writing,45226
0.00731611251831,0,1,PLAY,InitialBuffering-Play,0
0.00900602340698,0,0,PLAY,StillPlaying,45226
0.855687141418,0,1,PLAY,Writing,45226
2.21251416206,2,2,PLAY,Writing,45226
3.35139298439,3,3,PLAY,Writing,45226
3.8662750721,3,4,PLAY,Writing,45226
4.01124811172,4,3,PLAY,StillPlaying,45226
5.13032197952,5,4,PLAY,Writing,45226
6.15904712677,6,5,PLAY,Writing,45226
7.95946407318,7,6,PLAY,Writing,45226
8.01127314568,8,5,PLAY,StillPlaying,45226
10.9272801876,10,6,PLAY,Writing,88783
12.0113060474,12,5,PLAY,StillPlaying,45226
12.8219530582,12,6,PLAY,Writing,45226
14.7717339993,14,7,PLAY,Writing,45226
15.2581911087,15,8,PLAY,Writing,45226
15.8577930927,15,9,PLAY,Writing,128503
16.0112349987,16,8,PLAY,StillPlaying,45226
16.7415139675,16,9,PLAY,Writing,177437
18.1406860352,18,10,PLAY,Writing,255865
19.7336270809,19,11,PLAY,Writing,509091
20.0113210678,20,10,PLAY,StillPlaying,45226
21.8419389725,21,11,PLAY,Writing,577751
24.0108671188,24,10,PLAY,StillPlaying,45226
26.0756649971,26,11,PLAY,Writing,782553
28.0113670826,28,10,PLAY,StillPlaying,45226
30.7876880169,30,11,PLAY,Writing,782553
32.0109391212,32,10,PLAY,StillPlaying,88783
36.0114140511,36,9,PLAY,StillPlaying,45226
40.0109510422,40,8,PLAY,StillPlaying,45226
44.0113770962,44,7,PLAY,StillPlaying,45226
48.0108850002,48,6,PLAY,StillPlaying,128503
49.2464051247,49,7,PLAY,Writing,1473801
52.0109431744,52,6,PLAY,StillPlaying,177437
56.0109250546,56,5,PLAY,StillPlaying,255865
60.0109059811,60,4,PLAY,StillPlaying,509091
60.4848661423,60,5,PLAY,Writing,378355
64.0109469891,64,4,PLAY,StillPlaying,577751
68.0114240646,68,3,PLAY,StillPlaying,782553
72.0109500885,72,2,PLAY,StillPlaying,782553
73.3368580341,73,3,PLAY,Writing,378355
75.2181050777,75,4,PLAY,Writing,45226
76.0107851028,76,3,PLAY,StillPlaying,1473801
78.0410549641,78,4,PLAY,Writing,88783
80.0109009743,80,3,PLAY,StillPlaying,378355
81.0583031178,81,4,PLAY,Writing,88783
82.2856550217,82,5,PLAY,Writing,45226
83.1626281738,83,6,PLAY,Writing,45226
84.0107841492,84,5,PLAY,StillPlaying,378355
84.2158830166,84,6,PLAY,Writing,45226
84.8727731705,84,7,PLAY,Writing,45226
87.8783810139,87,8,PLAY,Writing,88783
88.0107569695,88,7,PLAY,StillPlaying,45226
92.0116100311,92,6,PLAY,StillPlaying,88783
92.6787590981,92,7,PLAY,Writing,88783
95.1584031582,95,8,PLAY,Writing,88783
96.0107619762,96,7,PLAY,StillPlaying,88783
97.3488111496,97,8,PLAY,Writing,88783
100.01141119,100,7,PLAY,StillPlaying,45226
100.201991081,100,8,PLAY,Writing,88783
102.142506123,102,9,PLAY,Writing,88783
104.010910988,104,8,PLAY,StillPlaying,45226
104.197422981,104,9,PLAY,Writing,128503
106.167136192,106,10,PLAY,Writing,128503
108.011469126,108,9,PLAY,StillPlaying,45226
111.545129061,111,10,PLAY,Writing,255865
112.010828018,112,9,PLAY,StillPlaying,45226
115.300027132,115,10,PLAY,Writing,177437
116.010778189,116,9,PLAY,StillPlaying,88783
120.011454105,120,8,PLAY,StillPlaying,88783
120.222939014,120,9,PLAY,Writing,217761
123.299288988,123,10,PLAY,Writing,177437
124.010784149,124,9,PLAY,StillPlaying,88783
128.011444092,128,8,PLAY,StillPlaying,88783
128.066112995,128,9,PLAY,Writing,255865
132.010879993,132,8,PLAY,StillPlaying,88783
132.096680164,132,9,PLAY,Writing,177437
135.599964142,135,10,PLAY,Writing,177437
136.010797977,136,9,PLAY,StillPlaying,88783
137.661273003,137,10,PLAY,Writing,177437
140.011375189,140,9,PLAY,StillPlaying,128503
144.010962009,144,8,PLAY,StillPlaying,128503
145.123109102,145,9,PLAY,Writing,378355
148.010924101,148,8,PLAY,StillPlaying,255865
152.01140213,152,7,PLAY,StillPlaying,177437
152.990163088,152,8,PLAY,Writing,177437
156.010946035,156,7,PLAY,StillPlaying,217761
159.966489077,159,8,PLAY,Writing,177437
160.010715961,160,7,PLAY,StillPlaying,177437
164.012923002,164,6,PLAY,StillPlaying,255865
165.069442034,165,7,PLAY,Writing,128503
167.941951036,167,8,PLAY,Writing,88783
168.011111021,168,7,PLAY,StillPlaying,177437
171.101413965,171,8,PLAY,Writing,88783
172.011228085,172,7,PLAY,StillPlaying,177437
176.011465073,176,6,PLAY,StillPlaying,177437
180.030846119,180,5,PLAY,StillPlaying,378355
181.339589119,181,6,PLAY,Writing,88783
181.648395061,181,7,PLAY,Writing,45226
182.444715023,182,8,PLAY,Writing,45226
183.059585094,183,9,PLAY,Writing,45226
184.011257172,184,8,PLAY,StillPlaying,177437
184.793667078,184,9,PLAY,Writing,88783
186.056817055,186,10,PLAY,Writing,88783
186.84563899,186,11,PLAY,Writing,88783
188.010842085,188,10,PLAY,StillPlaying,177437
190.195530176,190,11,PLAY,Writing,323047
192.01087904,192,10,PLAY,StillPlaying,128503
193.846140146,193,11,PLAY,Writing,255865
196.011388063,196,10,PLAY,StillPlaying,88783
200.010987997,200,9,PLAY,StillPlaying,88783
204.011445045,204,8,PLAY,StillPlaying,88783
204.628448963,204,9,PLAY,Writing,323047
208.01086998,208,8,PLAY,StillPlaying,45226
209.931668043,209,9,PLAY,Writing,177437
212.010893106,212,8,PLAY,StillPlaying,45226
214.574233055,214,9,PLAY,Writing,177437
216.01138711,216,8,PLAY,StillPlaying,45226
217.910559177,217,9,PLAY,Writing,177437
220.010951996,220,8,PLAY,StillPlaying,88783
222.477362156,222,9,PLAY,Writing,177437
224.011306047,224,8,PLAY,StillPlaying,88783
224.482603073,224,9,PLAY,Writing,128503
226.468034029,226,10,PLAY,Writing,128503
228.011361122,228,9,PLAY,StillPlaying,88783
230.270681143,230,10,PLAY,Writing,177437
232.01091218,232,9,PLAY,StillPlaying,323047
233.32981801,233,10,PLAY,Writing,177437
236.010956049,236,9,PLAY,StillPlaying,255865
239.458191156,239,10,PLAY,Writing,255865
240.010883093,240,9,PLAY,StillPlaying,323047
244.010926962,244,8,PLAY,StillPlaying,177437
248.010933161,248,7,PLAY,StillPlaying,177437
252.010931969,252,6,PLAY,StillPlaying,177437
253.270794153,253,7,PLAY,Writing,378355
256.01091218,256,6,PLAY,StillPlaying,177437
256.258996964,256,7,PLAY,Writing,88783
260.011478186,260,6,PLAY,StillPlaying,128503
263.471229076,263,7,PLAY,Writing,128503
264.011322975,264,6,PLAY,StillPlaying,128503
265.411602974,265,7,PLAY,Writing,128503
268.010879993,268,6,PLAY,StillPlaying,177437
268.558756113,268,7,PLAY,Writing,88783
272.011456013,272,6,PLAY,StillPlaying,177437
276.011481047,276,5,PLAY,StillPlaying,255865
276.20049119,276,6,PLAY,Writing,88783
276.392156124,276,7,PLAY,Writing,45226
276.672914982,276,8,PLAY,Writing,45226
276.906018972,276,9,PLAY,Writing,45226
277.389119148,277,10,PLAY,Writing,88783
278.164659023,278,11,PLAY,Writing,128503
279.291913033,279,12,PLAY,Writing,177437
280.011568069,280,11,PLAY,StillPlaying,378355
284.010982037,284,10,PLAY,StillPlaying,88783
288.010908127,288,9,PLAY,StillPlaying,128503
292.010946035,292,8,PLAY,StillPlaying,128503
