EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.00401210784912,0,1,INITIAL_BUFFERING,Writing,45226
0.0120370388031,0,1,PLAY,InitialBuffering-Play,0
0.0146958827972,0,0,PLAY,StillPlaying,45226
0.113802909851,0,1,PLAY,Writing,45226
0.346232891083,0,2,PLAY,Writing,45226
0.66921710968,0,3,PLAY,Writing,88783
1.11282396317,1,4,PLAY,Writing,128503
1.71030402184,1,5,PLAY,Writing,177437
2.3920249939,2,6,PLAY,Writing,217761
3.28225588799,3,7,PLAY,Writing,255865
4.01627707481,4,6,PLAY,StillPlaying,45226
5.97612094879,5,7,PLAY,Writing,782553
8.01637887955,8,6,PLAY,StillPlaying,45226
8.79097604752,8,7,PLAY,Writing,782553
12.0163619518,12,6,PLAY,StillPlaying,88783
12.5016920567,12,7,PLAY,Writing,782553
15.2484750748,15,8,PLAY,Writing,577751
16.0167610645,16,7,PLAY,StillPlaying,128503
20.0168309212,20,6,PLAY,StillPlaying,177437
22.4401729107,22,7,PLAY,Writing,1473801
24.0168960094,24,6,PLAY,StillPlaying,217761
25.7832989693,25,7,PLAY,Writing,782553
28.0163691044,28,6,PLAY,StillPlaying,255865
30.4267640114,30,7,PLAY,Writing,577751
32.0163309574,32,6,PLAY,StillPlaying,782553
33.5960040092,33,7,PLAY,Writing,577751
36.0168840885,36,6,PLAY,StillPlaying,782553
36.1160190105,36,7,PLAY,Writing,577751
38.6253190041,38,8,PLAY,Writing,509091
40.0163009167,40,7,PLAY,StillPlaying,782553
41.1096699238,41,8,PLAY,Writing,577751
43.4393839836,43,9,PLAY,Writing,577751
44.016712904,44,8,PLAY,StillPlaying,577751
46.8250179291,46,9,PLAY,Writing,782553
48.0163059235,48,8,PLAY,StillPlaying,1473801
52.0163578987,52,7,PLAY,StillPlaying,782553
52.7286939621,52,8,PLAY,Writing,1473801
55.5121459961,55,9,PLAY,Writing,1473801
56.0162110329,56,8,PLAY,StillPlaying,577751
58.2886970043,58,9,PLAY,Writing,1008699
60.0163619518,60,8,PLAY,StillPlaying,577751
60.3781030178,60,9,PLAY,Writing,1473801
63.6593060493,63,10,PLAY,Writing,1473801
64.0161719322,64,9,PLAY,StillPlaying,577751
68.0167360306,68,8,PLAY,StillPlaying,509091
68.9765529633,68,9,PLAY,Writing,1008699
72.0167520046,72,8,PLAY,StillPlaying,577751
76.0168950558,76,7,PLAY,StillPlaying,577751
76.0246760845,76,8,PLAY,Writing,782553
80.0168581009,80,7,PLAY,StillPlaying,782553
80.5446128845,80,8,PLAY,Writing,577751
84.0170269012,84,7,PLAY,StillPlaying,1473801
85.6762731075,85,8,PLAY,Writing,577751
88.0168099403,88,7,PLAY,StillPlaying,1473801
89.304117918,89,8,PLAY,Writing,378355
92.0163118839,92,7,PLAY,StillPlaying,1008699
93.9935610294,93,8,PLAY,Writing,378355
96.01633811,96,7,PLAY,StillPlaying,1473801
96.4604289532,96,8,PLAY,Writing,323047
99.0661458969,99,9,PLAY,Writing,323047
100.01674509,100,8,PLAY,StillPlaying,1473801
102.444580078,102,9,PLAY,Writing,378355
104.016309023,104,8,PLAY,StillPlaying,1008699
107.594911098,107,9,PLAY,Writing,509091
108.016227961,108,8,PLAY,StillPlaying,782553
110.82504797,110,9,PLAY,Writing,378355
112.01630497,112,8,PLAY,StillPlaying,577751
115.609134912,115,9,PLAY,Writing,577751
116.016422987,116,8,PLAY,StillPlaying,577751
118.295070887,118,9,PLAY,Writing,378355
120.016352892,120,8,PLAY,StillPlaying,378355
122.105477095,122,9,PLAY,Writing,509091
124.016360998,124,8,PLAY,StillPlaying,378355
125.535064936,125,9,PLAY,Writing,577751
128.016325951,128,8,PLAY,StillPlaying,323047
130.25048399,130,9,PLAY,Writing,577751
132.016294956,132,8,PLAY,StillPlaying,323047
134.499609947,134,9,PLAY,Writing,378355
136.016417027,136,8,PLAY,StillPlaying,378355
138.07854104,138,9,PLAY,Writing,323047
140.016355038,140,8,PLAY,StillPlaying,509091
140.876234055,140,9,PLAY,Writing,323047
144.016371965,144,8,PLAY,StillPlaying,378355
147.220664978,147,9,PLAY,Writing,577751
148.016670942,148,8,PLAY,StillPlaying,577751
150.338787079,150,9,PLAY,Writing,323047
152.016400099,152,8,PLAY,StillPlaying,378355
154.88963604,154,9,PLAY,Writing,378355
156.016292095,156,8,PLAY,StillPlaying,509091
156.743767023,156,9,PLAY,Writing,378355
160.016372919,160,8,PLAY,StillPlaying,577751
160.39289093,160,9,PLAY,Writing,378355
162.476583958,162,10,PLAY,Writing,323047
164.016722918,164,9,PLAY,StillPlaying,577751
164.907011032,164,10,PLAY,Writing,378355
166.844208956,166,11,PLAY,Writing,378355
168.01623106,168,10,PLAY,StillPlaying,378355
172.016386986,172,9,PLAY,StillPlaying,323047
172.320965052,172,10,PLAY,Writing,782553
175.897329092,175,11,PLAY,Writing,577751
176.016207933,176,10,PLAY,StillPlaying,323047
179.980370045,179,11,PLAY,Writing,782553
180.016177893,180,10,PLAY,StillPlaying,577751
182.948738098,182,11,PLAY,Writing,782553
184.016901016,184,10,PLAY,StillPlaying,323047
187.854360104,187,11,PLAY,Writing,782553
188.016186953,188,10,PLAY,StillPlaying,378355
192.016391993,192,9,PLAY,StillPlaying,378355
192.459625959,192,10,PLAY,Writing,782553
195.256603003,195,11,PLAY,Writing,577751
196.016814947,196,10,PLAY,StillPlaying,378355
199.305952072,199,11,PLAY,Writing,782553
200.016292095,200,10,PLAY,StillPlaying,323047
203.001028061,202,11,PLAY,Writing,782553
204.016222,204,10,PLAY,StillPlaying,378355
207.344183922,207,11,PLAY,Writing,782553
208.016269922,208,10,PLAY,StillPlaying,378355
211.406198025,211,11,PLAY,Writing,782553
212.016248941,212,10,PLAY,StillPlaying,782553
215.229846954,215,11,PLAY,Writing,782553
216.016798019,216,10,PLAY,StillPlaying,577751
219.436053991,219,11,PLAY,Writing,782553
220.016768932,220,10,PLAY,StillPlaying,782553
224.016769886,224,9,PLAY,StillPlaying,782553
224.298351049,224,10,PLAY,Writing,782553
228.016369104,228,9,PLAY,StillPlaying,782553
229.018388033,229,10,PLAY,Writing,782553
232.016361952,232,9,PLAY,StillPlaying,782553
234.12963295,234,10,PLAY,Writing,782553
236.016366005,236,9,PLAY,StillPlaying,577751
239.09088707,239,10,PLAY,Writing,782553
240.016314983,240,9,PLAY,StillPlaying,782553
243.28241396,243,10,PLAY,Writing,782553
244.016742945,244,9,PLAY,StillPlaying,782553
246.645402908,246,10,PLAY,Writing,577751
248.016326904,248,9,PLAY,StillPlaying,782553
250.416115046,250,10,PLAY,Writing,782553
252.016788006,252,9,PLAY,StillPlaying,782553
254.79064703,254,10,PLAY,Writing,782553
256.01631403,256,9,PLAY,StillPlaying,782553
259.26581502,259,10,PLAY,Writing,782553
260.016186953,260,9,PLAY,StillPlaying,782553
264.016849995,264,8,PLAY,StillPlaying,782553
265.357568026,265,9,PLAY,Writing,782553
268.016829967,268,8,PLAY,StillPlaying,782553
269.653995991,269,9,PLAY,Writing,577751
272.016871929,272,8,PLAY,StillPlaying,782553
275.009624958,274,9,PLAY,Writing,577751
276.017182112,276,8,PLAY,StillPlaying,782553
278.850450993,278,9,PLAY,Writing,577751
280.016222,280,8,PLAY,StillPlaying,782553
282.772651911,282,9,PLAY,Writing,509091
284.016307116,284,8,PLAY,StillPlaying,577751
286.408699989,286,9,PLAY,Writing,509091
288.01632905,288,8,PLAY,StillPlaying,782553
289.205739975,289,9,PLAY,Writing,378355
