EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000993013381958,0,1,INITIAL_BUFFERING,Writing,45226
0.00687313079834,0,1,PLAY,InitialBuffering-Play,0
0.0085780620575,0,0,PLAY,StillPlaying,45226
0.123263120651,0,1,PLAY,Writing,45226
0.382868051529,0,2,PLAY,Writing,45226
0.802464008331,0,3,PLAY,Writing,88783
1.37878918648,1,4,PLAY,Writing,128503
2.10003709793,2,5,PLAY,Writing,177437
2.84859800339,2,6,PLAY,Writing,217761
4.01170921326,4,5,PLAY,StillPlaying,45226
4.04072809219,4,6,PLAY,Writing,255865
5.65287709236,5,7,PLAY,Writing,323047
8.01173210144,8,6,PLAY,StillPlaying,45226
8.25575113297,8,7,PLAY,Writing,577751
11.154102087,11,8,PLAY,Writing,577751
12.0117402077,12,7,PLAY,StillPlaying,88783
13.9959800243,13,8,PLAY,Writing,577751
16.0116930008,16,7,PLAY,StillPlaying,128503
20.0117411613,20,6,PLAY,StillPlaying,177437
22.0147600174,22,7,PLAY,Writing,1473801
24.01177001,24,6,PLAY,StillPlaying,217761
25.6317141056,25,7,PLAY,Writing,782553
28.0121331215,28,6,PLAY,StillPlaying,255865
28.51466012,28,7,PLAY,Writing,577751
29.9242470264,29,8,PLAY,Writing,577751
32.0117540359,32,7,PLAY,StillPlaying,323047
32.8544750214,32,8,PLAY,Writing,782553
35.310115099,35,9,PLAY,Writing,577751
36.0117390156,36,8,PLAY,StillPlaying,577751
38.4255402088,38,9,PLAY,Writing,782553
40.0117750168,40,8,PLAY,StillPlaying,577751
44.0117540359,44,7,PLAY,StillPlaying,577751
44.6268520355,44,8,PLAY,Writing,1473801
48.012114048,48,7,PLAY,StillPlaying,1473801
49.7999591827,49,8,PLAY,Writing,1008699
52.011713028,52,7,PLAY,StillPlaying,782553
56.0117781162,56,6,PLAY,StillPlaying,577751
56.5291211605,56,7,PLAY,Writing,1473801
59.4293260574,59,8,PLAY,Writing,1008699
60.0116941929,60,7,PLAY,StillPlaying,577751
62.2143201828,62,8,PLAY,Writing,782553
64.0117211342,64,7,PLAY,StillPlaying,782553
64.839826107,64,8,PLAY,Writing,782553
67.5248701572,67,9,PLAY,Writing,782553
68.0118021965,68,8,PLAY,StillPlaying,577751
70.550235033,70,9,PLAY,Writing,782553
72.0118541718,72,8,PLAY,StillPlaying,782553
73.9267091751,73,9,PLAY,Writing,782553
76.0117161274,76,8,PLAY,StillPlaying,1473801
76.9403700829,76,9,PLAY,Writing,782553
80.0122292042,80,8,PLAY,StillPlaying,1008699
80.3534681797,80,9,PLAY,Writing,782553
83.8444321156,83,10,PLAY,Writing,782553
84.0116360188,84,9,PLAY,StillPlaying,1473801
87.3877561092,87,10,PLAY,Writing,782553
88.0117340088,88,9,PLAY,StillPlaying,1008699
90.5535881519,90,10,PLAY,Writing,782553
92.0117120743,92,9,PLAY,StillPlaying,782553
94.1020781994,94,10,PLAY,Writing,782553
96.0117571354,96,9,PLAY,StillPlaying,782553
99.0043430328,98,10,PLAY,Writing,1008699
100.011735201,100,9,PLAY,StillPlaying,782553
103.849477053,103,10,PLAY,Writing,1008699
104.011594057,104,9,PLAY,StillPlaying,782553
108.011763096,108,8,PLAY,StillPlaying,782553
108.769386053,108,9,PLAY,Writing,1008699
112.012295008,112,8,PLAY,StillPlaying,782553
114.369353056,114,9,PLAY,Writing,1473801
116.011756182,116,8,PLAY,StillPlaying,782553
117.530758142,117,9,PLAY,Writing,782553
120.011771202,120,8,PLAY,StillPlaying,782553
122.017331123,122,9,PLAY,Writing,1008699
124.011747122,124,8,PLAY,StillPlaying,782553
125.259231091,125,9,PLAY,Writing,1008699
