EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000891923904419,0,1,INITIAL_BUFFERING,Writing,45226
0.00668287277222,0,1,PLAY,InitialBuffering-Play,0
0.00921702384949,0,0,PLAY,StillPlaying,45226
0.259860038757,0,1,PLAY,Writing,45226
0.839961051941,0,2,PLAY,Writing,45226
1.19582104683,1,3,PLAY,Writing,45226
1.84701704979,1,4,PLAY,Writing,88783
2.56977701187,2,5,PLAY,Writing,128503
3.46306800842,3,6,PLAY,Writing,177437
4.01086688042,4,5,PLAY,StillPlaying,45226
4.6712269783,4,6,PLAY,Writing,217761
6.0055129528,5,7,PLAY,Writing,255865
8.01139998436,8,6,PLAY,StillPlaying,45226
8.09278702736,8,7,PLAY,Writing,378355
10.9889490604,10,8,PLAY,Writing,509091
12.0109088421,12,7,PLAY,StillPlaying,45226
15.0049550533,14,8,PLAY,Writing,577751
16.0116200447,16,7,PLAY,StillPlaying,88783
20.011013031,20,6,PLAY,StillPlaying,128503
24.0110168457,24,5,PLAY,StillPlaying,177437
24.1597340107,24,6,PLAY,Writing,1473801
27.3192799091,27,7,PLAY,Writing,577751
28.0113339424,28,6,PLAY,StillPlaying,217761
30.6056060791,30,7,PLAY,Writing,577751
32.0113768578,32,6,PLAY,StillPlaying,255865
32.2310819626,32,7,PLAY,Writing,577751
34.5583109856,34,8,PLAY,Writing,577751
36.011496067,36,7,PLAY,StillPlaying,378355
37.5607018471,37,8,PLAY,Writing,577751
40.0114619732,40,7,PLAY,StillPlaying,509091
40.0809180737,40,8,PLAY,Writing,577751
44.0110180378,44,7,PLAY,StillPlaying,577751
47.2370419502,47,8,PLAY,Writing,1473801
48.010833025,48,7,PLAY,StillPlaying,1473801
52.011482954,52,6,PLAY,StillPlaying,577751
52.1568460464,52,7,PLAY,Writing,782553
55.4098200798,55,8,PLAY,Writing,577751
56.0113649368,56,7,PLAY,StillPlaying,577751
59.061011076,59,8,PLAY,Writing,782553
60.0112540722,60,7,PLAY,StillPlaying,577751
61.5070049763,61,8,PLAY,Writing,577751
64.0109188557,64,7,PLAY,StillPlaying,577751
64.3038449287,64,8,PLAY,Writing,577751
66.5794148445,66,9,PLAY,Writing,577751
68.010892868,68,8,PLAY,StillPlaying,577751
69.7953329086,69,9,PLAY,Writing,577751
72.0110230446,72,8,PLAY,StillPlaying,577751
73.8118360043,73,9,PLAY,Writing,577751
76.0114588737,76,8,PLAY,StillPlaying,1473801
77.0030379295,76,9,PLAY,Writing,509091
80.0113110542,80,8,PLAY,StillPlaying,782553
80.981210947,80,9,PLAY,Writing,577751
83.5638239384,83,10,PLAY,Writing,509091
84.0108380318,84,9,PLAY,StillPlaying,577751
86.4651808739,86,10,PLAY,Writing,577751
88.0114400387,88,9,PLAY,StillPlaying,782553
89.6881530285,89,10,PLAY,Writing,577751
92.0110168457,92,9,PLAY,StillPlaying,577751
92.7173099518,92,10,PLAY,Writing,577751
96.010997057,96,9,PLAY,StillPlaying,577751
96.8157999516,96,10,PLAY,Writing,782553
100.010967016,100,9,PLAY,StillPlaying,577751
101.22854805,101,10,PLAY,Writing,782553
104.010989904,104,9,PLAY,StillPlaying,577751
105.30000186,105,10,PLAY,Writing,782553
108.011031866,108,9,PLAY,StillPlaying,577751
111.534538984,111,10,PLAY,Writing,1473801
112.011322975,112,9,PLAY,StillPlaying,509091
116.010987043,116,8,PLAY,StillPlaying,577751
116.123941898,116,9,PLAY,Writing,782553
120.011010885,120,8,PLAY,StillPlaying,509091
120.41473794,120,9,PLAY,Writing,782553
124.011394978,124,8,PLAY,StillPlaying,577751
124.196866989,124,9,PLAY,Writing,782553
128.011501074,128,8,PLAY,StillPlaying,577751
128.055652857,128,9,PLAY,Writing,782553
130.906296015,130,10,PLAY,Writing,577751
132.01095295,132,9,PLAY,StillPlaying,577751
134.718903065,134,10,PLAY,Writing,782553
136.011498928,136,9,PLAY,StillPlaying,782553
137.1997509,137,10,PLAY,Writing,577751
140.011453867,140,9,PLAY,StillPlaying,782553
144.011029959,144,8,PLAY,StillPlaying,782553
145.65001297,145,9,PLAY,Writing,1207152
148.011888981,148,8,PLAY,StillPlaying,1473801
149.138419867,149,9,PLAY,Writing,577751
152.011456966,152,8,PLAY,StillPlaying,782553
153.729368925,153,9,PLAY,Writing,782553
155.980704069,155,10,PLAY,Writing,577751
156.010874033,156,9,PLAY,StillPlaying,782553
159.731945038,159,10,PLAY,Writing,782553
160.010843039,160,9,PLAY,StillPlaying,782553
161.673898935,161,10,PLAY,Writing,577751
164.011026859,164,9,PLAY,StillPlaying,782553
164.084315062,164,10,PLAY,Writing,577751
167.507173061,167,11,PLAY,Writing,782553
168.010905981,168,10,PLAY,StillPlaying,577751
172.011477947,172,9,PLAY,StillPlaying,782553
176.011021852,176,8,PLAY,StillPlaying,577751
176.635788918,176,9,PLAY,Writing,1473801
180.011445999,180,8,PLAY,StillPlaying,1207152
180.802227974,180,9,PLAY,Writing,782553
184.011003017,184,8,PLAY,StillPlaying,577751
184.212329865,184,9,PLAY,Writing,782553
186.68049407,186,10,PLAY,Writing,782553
188.010982037,188,9,PLAY,StillPlaying,782553
192.010982037,192,8,PLAY,StillPlaying,577751
193.683903933,193,9,PLAY,Writing,1473801
196.01097393,196,8,PLAY,StillPlaying,782553
197.295812845,197,9,PLAY,Writing,782553
200.011452913,200,8,PLAY,StillPlaying,577751
200.778753042,200,9,PLAY,Writing,782553
204.010993958,204,8,PLAY,StillPlaying,577751
205.261371851,205,9,PLAY,Writing,782553
208.011008024,208,8,PLAY,StillPlaying,782553
208.756847858,208,9,PLAY,Writing,782553
212.011021852,212,8,PLAY,StillPlaying,1473801
212.018387079,212,9,PLAY,Writing,782553
215.798420906,215,10,PLAY,Writing,782553
216.011330843,216,9,PLAY,StillPlaying,782553
219.207154989,219,10,PLAY,Writing,782553
220.011090994,220,9,PLAY,StillPlaying,782553
222.205149889,222,10,PLAY,Writing,782553
224.011450052,224,9,PLAY,StillPlaying,782553
225.341080904,225,10,PLAY,Writing,782553
228.011425972,228,9,PLAY,StillPlaying,1473801
229.394172907,229,10,PLAY,Writing,1008699
232.011443853,232,9,PLAY,StillPlaying,782553
232.406846046,232,10,PLAY,Writing,782553
236.010998011,236,9,PLAY,StillPlaying,782553
236.492610931,236,10,PLAY,Writing,1207152
240.011887074,240,9,PLAY,StillPlaying,782553
241.689074993,241,10,PLAY,Writing,1473801
244.010990858,244,9,PLAY,StillPlaying,782553
248.011452913,248,8,PLAY,StillPlaying,782553
249.334346056,249,9,PLAY,Writing,1008699
252.010995865,252,8,PLAY,StillPlaying,782553
256.011497021,256,7,PLAY,StillPlaying,782553
260.010984898,260,6,PLAY,StillPlaying,782553
263.841001987,263,7,PLAY,Writing,1008699
264.010978937,264,6,PLAY,StillPlaying,782553
266.683625937,266,7,PLAY,Writing,577751
268.011339903,268,6,PLAY,StillPlaying,1008699
272.010993004,272,5,PLAY,StillPlaying,782553
272.995905876,272,6,PLAY,Writing,378355
276.011183977,276,5,PLAY,StillPlaying,1207152
278.272474051,278,6,PLAY,Writing,323047
280.011471987,280,5,PLAY,StillPlaying,1473801
284.011527061,284,4,PLAY,StillPlaying,1008699
285.741783857,285,5,PLAY,Writing,255865
287.051445961,287,6,PLAY,Writing,128503
288.011309862,288,5,PLAY,StillPlaying,1008699
288.147768021,288,6,PLAY,Writing,128503
289.330862999,289,7,PLAY,Writing,128503
291.030609846,291,8,PLAY,Writing,128503
292.010859013,292,7,PLAY,StillPlaying,577751
