EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000879049301147,0,1,INITIAL_BUFFERING,Writing,45226
0.00729823112488,0,1,PLAY,InitialBuffering-Play,0
0.00900506973267,0,0,PLAY,StillPlaying,45226
0.126459121704,0,1,PLAY,Writing,45226
0.385867118835,0,2,PLAY,Writing,45226
0.804190158844,0,3,PLAY,Writing,88783
1.38051009178,1,4,PLAY,Writing,128503
2.10030722618,2,5,PLAY,Writing,177437
2.85035204887,2,6,PLAY,Writing,217761
4.01065921783,4,5,PLAY,StillPlaying,45226
4.03037118912,4,6,PLAY,Writing,255865
5.65594601631,5,7,PLAY,Writing,323047
8.01068711281,8,6,PLAY,StillPlaying,45226
8.25910615921,8,7,PLAY,Writing,577751
11.1225640774,11,8,PLAY,Writing,577751
12.0106511116,12,7,PLAY,StillPlaying,88783
16.0111961365,16,6,PLAY,StillPlaying,128503
20.0106911659,20,5,PLAY,StillPlaying,177437
24.0111989975,24,4,PLAY,StillPlaying,217761
28.0111660957,28,3,PLAY,StillPlaying,255865
31.5679600239,31,4,PLAY,Writing,577751
32.0104951859,32,3,PLAY,StillPlaying,323047
32.1860761642,32,4,PLAY,Writing,128503
32.7771852016,32,5,PLAY,Writing,128503
33.5510411263,33,6,PLAY,Writing,177437
34.2714571953,34,7,PLAY,Writing,217761
35.1165771484,35,8,PLAY,Writing,217761
35.8100311756,35,9,PLAY,Writing,177437
36.0105030537,36,8,PLAY,StillPlaying,577751
38.947261095,38,9,PLAY,Writing,782553
40.0106260777,40,8,PLAY,StillPlaying,577751
44.0107061863,44,7,PLAY,StillPlaying,577751
45.1348040104,45,8,PLAY,Writing,1473801
48.0107250214,48,7,PLAY,StillPlaying,128503
50.2943501472,50,8,PLAY,Writing,1008699
52.0113070011,52,7,PLAY,StillPlaying,128503
56.0106780529,56,6,PLAY,StillPlaying,177437
57.0372371674,57,7,PLAY,Writing,1473801
59.9254062176,59,8,PLAY,Writing,1008699
60.0110301971,60,7,PLAY,StillPlaying,217761
62.7221910954,62,8,PLAY,Writing,782553
64.0111691952,64,7,PLAY,StillPlaying,217761
65.3341732025,65,8,PLAY,Writing,782553
68.0080990791,67,9,PLAY,Writing,782553
68.0133330822,68,8,PLAY,StillPlaying,177437
71.0216040611,71,9,PLAY,Writing,782553
71.7618720531,71,10,PLAY,Writing,782553
72.0105361938,72,9,PLAY,StillPlaying,782553
76.0107531548,76,8,PLAY,StillPlaying,1473801
80.0107271671,80,7,PLAY,StillPlaying,1008699
84.0106692314,84,6,PLAY,StillPlaying,1473801
88.0112709999,88,5,PLAY,StillPlaying,1008699
91.869934082,91,6,PLAY,Writing,1008699
92.0110239983,92,5,PLAY,StillPlaying,782553
93.3849771023,93,6,PLAY,Writing,323047
94.5710701942,94,7,PLAY,Writing,255865
95.7419221401,95,8,PLAY,Writing,255865
96.0106160641,96,7,PLAY,StillPlaying,782553
97.0260131359,97,8,PLAY,Writing,323047
98.4745922089,98,9,PLAY,Writing,323047
100.011174202,100,8,PLAY,StillPlaying,782553
100.311875105,100,9,PLAY,Writing,378355
103.874369144,103,10,PLAY,Writing,782553
104.010482073,104,9,PLAY,StillPlaying,782553
108.010668039,108,8,PLAY,StillPlaying,782553
108.789806128,108,9,PLAY,Writing,1008699
112.010696173,112,8,PLAY,StillPlaying,1008699
