EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.00100207328796,0,1,INITIAL_BUFFERING,Writing,45226
0.00672197341919,0,1,PLAY,InitialBuffering-Play,0
0.00971794128418,0,0,PLAY,StillPlaying,45226
2.14901304245,2,1,PLAY,Writing,88783.0
4.0109899044,4,0,PLAY,StillPlaying,88783.0
4.90074706078,4,1,PLAY,Writing,128503.0
8.01103496552,8,0,PLAY,StillPlaying,128503.0
10.8128139973,10,1,PLAY,Writing,177437.0
12.0110039711,12,0,PLAY,StillPlaying,177437.0
14.9503898621,14,1,PLAY,Writing,128503.0
15.318666935,15,2,PLAY,Writing,88783.0
15.7495319843,15,3,PLAY,Writing,128503.0
16.0108640194,16,2,PLAY,StillPlaying,128503.0
16.6574709415,16,3,PLAY,Writing,177437.0
17.8277490139,17,4,PLAY,Writing,217761.0
19.088381052,19,5,PLAY,Writing,255865.0
20.0111629963,20,4,PLAY,StillPlaying,88783.0
20.928730011,20,5,PLAY,Writing,323047.0
23.3785328865,23,6,PLAY,Writing,378355.0
24.0114240646,24,5,PLAY,StillPlaying,128503.0
26.5495438576,26,6,PLAY,Writing,509091.0
28.0110628605,28,5,PLAY,StillPlaying,177437.0
31.0865559578,31,6,PLAY,Writing,577751.0
32.011013031,32,5,PLAY,StillPlaying,217761.0
35.8402459621,35,6,PLAY,Writing,782553.0
36.0112390518,36,5,PLAY,StillPlaying,255865.0
40.011496067,40,4,PLAY,StillPlaying,323047.0
44.0115759373,44,3,PLAY,StillPlaying,378355.0
46.7331838608,46,4,PLAY,Writing,577751.0
48.0114839077,48,3,PLAY,StillPlaying,509091.0
50.3029949665,50,4,PLAY,Writing,378355.0
52.0109770298,52,3,PLAY,StillPlaying,577751.0
56.0110650063,56,2,PLAY,StillPlaying,782553.0
59.3427920341,59,3,PLAY,Writing,323047.0
60.0109229088,60,2,PLAY,StillPlaying,577751.0
63.2558510303,63,3,PLAY,Writing,217761.0
64.0110180378,64,2,PLAY,StillPlaying,378355.0
67.7816510201,67,3,PLAY,Writing,177437.0
68.0113649368,68,2,PLAY,StillPlaying,323047.0
72.0111169815,72,1,PLAY,StillPlaying,217761.0
73.7377588749,73,2,PLAY,Writing,128503.0
76.0110020638,76,1,PLAY,StillPlaying,177437.0
80.0110719204,80,0,PLAY,StillPlaying,128503.0
80.6538789272,80,1,PLAY,Writing,177437.0
82.6901988983,82,2,PLAY,Writing,88783.0
84.0110590458,84,1,PLAY,StillPlaying,177437.0
85.0603630543,85,2,PLAY,Writing,128503.0
87.288312912,87,3,PLAY,Writing,88783.0
88.0114250183,88,2,PLAY,StillPlaying,88783.0
92.0110399723,92,1,PLAY,StillPlaying,128503.0
92.3917040825,92,2,PLAY,Writing,128503.0
94.6743440628,94,3,PLAY,Writing,88783.0
96.0110089779,96,2,PLAY,StillPlaying,88783.0
98.5880880356,98,3,PLAY,Writing,128503.0
100.011426926,100,2,PLAY,StillPlaying,128503.0
101.241656065,101,3,PLAY,Writing,88783.0
103.464427948,103,4,PLAY,Writing,128503.0
104.010968924,104,3,PLAY,StillPlaying,88783.0
104.842118025,104,4,PLAY,Writing,88783.0
106.680119991,106,5,PLAY,Writing,128503.0
108.011425972,108,4,PLAY,StillPlaying,128503.0
110.913464069,110,5,PLAY,Writing,177437.0
112.010959864,112,4,PLAY,StillPlaying,88783.0
114.321488857,114,5,PLAY,Writing,128503.0
116.011033058,116,4,PLAY,StillPlaying,128503.0
118.683434963,118,5,PLAY,Writing,177437.0
120.01106596,120,4,PLAY,StillPlaying,88783.0
121.08413887,121,5,PLAY,Writing,128503.0
124.011249065,124,4,PLAY,StillPlaying,128503.0
124.497166872,124,5,PLAY,Writing,177437.0
126.513834953,126,6,PLAY,Writing,128503.0
128.010969877,128,5,PLAY,StillPlaying,177437.0
129.429996014,129,6,PLAY,Writing,177437.0
132.011036873,132,5,PLAY,StillPlaying,128503.0
132.618181944,132,6,PLAY,Writing,128503.0
135.795175076,135,7,PLAY,Writing,177437.0
136.011404991,136,6,PLAY,StillPlaying,177437.0
137.248103857,137,7,PLAY,Writing,128503.0
139.259177923,139,8,PLAY,Writing,177437.0
140.011456013,140,7,PLAY,StillPlaying,128503.0
143.997346878,143,8,PLAY,Writing,217761.0
144.010829926,144,7,PLAY,StillPlaying,177437.0
148.01107502,148,6,PLAY,StillPlaying,128503.0
151.002321959,150,7,PLAY,Writing,177437.0
152.011014938,152,6,PLAY,StillPlaying,177437.0
156.011081934,156,5,PLAY,StillPlaying,128503.0
157.847920895,157,6,PLAY,Writing,128503.0
160.011017084,160,5,PLAY,StillPlaying,177437.0
160.158235073,160,6,PLAY,Writing,88783.0
164.011566877,164,5,PLAY,StillPlaying,128503.0
167.034319878,167,6,PLAY,Writing,128503.0
168.010926008,168,5,PLAY,StillPlaying,177437.0
168.824092865,168,6,PLAY,Writing,88783.0
171.457439899,171,7,PLAY,Writing,45226.0
172.01146102,172,6,PLAY,StillPlaying,217761.0
176.011085033,176,5,PLAY,StillPlaying,177437.0
180.011072874,180,4,PLAY,StillPlaying,128503.0
180.058270931,180,5,PLAY,Writing,88783.0
180.539644957,180,6,PLAY,Writing,45226.0
181.436452866,181,7,PLAY,Writing,88783.0
182.037319899,182,8,PLAY,Writing,45226.0
183.182048082,183,9,PLAY,Writing,88783.0
184.010941029,184,8,PLAY,StillPlaying,88783.0
185.887256861,185,9,PLAY,Writing,128503.0
187.38646102,187,10,PLAY,Writing,177437.0
188.010946035,188,9,PLAY,StillPlaying,128503.0
189.559529066,189,10,PLAY,Writing,217761.0
192.011017084,192,9,PLAY,StillPlaying,88783.0
192.803837061,192,10,PLAY,Writing,255865.0
196.011543036,196,9,PLAY,StillPlaying,45226.0
200.011129856,200,8,PLAY,StillPlaying,88783.0
201.602117062,201,9,PLAY,Writing,217761.0
204.011029959,204,8,PLAY,StillPlaying,45226.0
205.235342026,205,9,PLAY,Writing,128503.0
208.011066914,208,8,PLAY,StillPlaying,88783.0
211.48287487,211,9,PLAY,Writing,177437.0
212.011404037,212,8,PLAY,StillPlaying,45226.0
214.084151983,214,9,PLAY,Writing,128503.0
216.011045933,216,8,PLAY,StillPlaying,88783.0
216.404396057,216,9,PLAY,Writing,88783.0
218.730460882,218,10,PLAY,Writing,128503.0
220.011057854,220,9,PLAY,StillPlaying,128503.0
222.579590082,222,10,PLAY,Writing,177437.0
224.010920048,224,9,PLAY,StillPlaying,177437.0
224.514842987,224,10,PLAY,Writing,128503.0
228.011079073,228,9,PLAY,StillPlaying,217761.0
228.103688955,228,10,PLAY,Writing,177437.0
230.471978903,230,11,PLAY,Writing,128503.0
232.011017084,232,10,PLAY,StillPlaying,255865.0
236.011030912,236,9,PLAY,StillPlaying,217761.0
237.976324081,237,10,PLAY,Writing,177437.0
240.01106596,240,9,PLAY,StillPlaying,128503.0
241.87442708,241,10,PLAY,Writing,217761.0
244.011075974,244,9,PLAY,StillPlaying,177437.0
246.638870955,246,10,PLAY,Writing,177437.0
248.011065006,248,9,PLAY,StillPlaying,128503.0
252.011059999,252,8,PLAY,StillPlaying,88783.0
254.531880856,254,9,PLAY,Writing,128503.0
256.010993958,256,8,PLAY,StillPlaying,128503.0
260.011086941,260,7,PLAY,StillPlaying,177437.0
260.175229073,260,8,PLAY,Writing,88783.0
263.940898895,263,9,PLAY,Writing,128503.0
264.010876894,264,8,PLAY,StillPlaying,128503.0
266.982012033,266,9,PLAY,Writing,88783.0
267.511225939,267,10,PLAY,Writing,45226.0
