EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000922203063965,0,1,INITIAL_BUFFERING,Writing,45226
0.00671315193176,0,1,PLAY,InitialBuffering-Play,0
0.00936412811279,0,0,PLAY,StillPlaying,45226
0.790553092957,0,1,PLAY,Writing,88783.0
2.08852720261,2,2,PLAY,Writing,128503.0
3.69401407242,3,3,PLAY,Writing,177437.0
4.01096510887,4,2,PLAY,StillPlaying,88783.0
4.93376302719,4,3,PLAY,Writing,217761.0
6.84730315208,6,4,PLAY,Writing,255865.0
8.01150512695,8,3,PLAY,StillPlaying,128503.0
8.53511404991,8,4,PLAY,Writing,323047.0
11.5808801651,11,5,PLAY,Writing,378355.0
12.0109841824,12,4,PLAY,StillPlaying,177437.0
16.0111632347,16,3,PLAY,StillPlaying,217761.0
17.2116250992,17,4,PLAY,Writing,509091.0
18.7852571011,18,5,PLAY,Writing,378355.0
20.0117971897,20,4,PLAY,StillPlaying,255865.0
20.3864550591,20,5,PLAY,Writing,509091.0
24.0111482143,24,4,PLAY,StillPlaying,323047.0
28.0111291409,28,3,PLAY,StillPlaying,378355.0
28.9071321487,28,4,PLAY,Writing,577751.0
32.0111460686,32,3,PLAY,StillPlaying,509091.0
34.0382680893,34,4,PLAY,Writing,378355.0
36.0115821362,36,3,PLAY,StillPlaying,378355.0
38.8435070515,38,4,PLAY,Writing,509091.0
40.0110311508,40,3,PLAY,StillPlaying,509091.0
42.9029040337,42,4,PLAY,Writing,378355.0
44.0115420818,44,3,PLAY,StillPlaying,577751.0
46.067677021,46,4,PLAY,Writing,509091.0
48.0115110874,48,3,PLAY,StillPlaying,378355.0
48.3149521351,48,4,PLAY,Writing,323047.0
52.0115911961,52,3,PLAY,StillPlaying,509091.0
52.087719202,52,4,PLAY,Writing,378355.0
55.6671350002,55,5,PLAY,Writing,509091.0
56.0110220909,56,4,PLAY,StillPlaying,378355.0
57.9011561871,57,5,PLAY,Writing,378355.0
60.011521101,60,4,PLAY,StillPlaying,509091.0
61.3864150047,61,5,PLAY,Writing,509091.0
63.4939351082,63,6,PLAY,Writing,378355.0
64.0110411644,64,5,PLAY,StillPlaying,323047.0
65.7140991688,65,6,PLAY,Writing,509091.0
68.0111761093,68,5,PLAY,StillPlaying,378355.0
70.6237812042,70,6,PLAY,Writing,577751.0
72.0110900402,72,5,PLAY,StillPlaying,509091.0
72.5418410301,72,6,PLAY,Writing,378355.0
76.0130710602,76,5,PLAY,StillPlaying,378355.0
77.5694801807,77,6,PLAY,Writing,509091.0
80.0111701488,80,5,PLAY,StillPlaying,509091.0
80.5812141895,80,6,PLAY,Writing,378355.0
83.9564239979,83,7,PLAY,Writing,323047.0
84.0109910965,84,6,PLAY,StillPlaying,378355.0
86.6662311554,86,7,PLAY,Writing,255865.0
88.0111141205,88,6,PLAY,StillPlaying,509091.0
90.7595040798,90,7,PLAY,Writing,323047.0
92.0111041069,92,6,PLAY,StillPlaying,577751.0
93.435529232,93,7,PLAY,Writing,255865.0
96.0112252235,96,6,PLAY,StillPlaying,378355.0
96.1114652157,96,7,PLAY,Writing,323047.0
99.7941222191,99,8,PLAY,Writing,378355.0
100.01098609,100,7,PLAY,StillPlaying,509091.0
103.142049074,103,8,PLAY,Writing,323047.0
104.011071205,104,7,PLAY,StillPlaying,378355.0
105.963132143,105,8,PLAY,Writing,378355.0
107.52376318,107,9,PLAY,Writing,509091.0
108.01100421,108,8,PLAY,StillPlaying,323047.0
109.377280235,109,9,PLAY,Writing,378355.0
111.212697029,111,10,PLAY,Writing,509091.0
112.011065006,112,9,PLAY,StillPlaying,255865.0
113.475833178,113,10,PLAY,Writing,577751.0
116.011606216,116,9,PLAY,StillPlaying,323047.0
116.375521183,116,10,PLAY,Writing,782553.0
120.011605024,120,9,PLAY,StillPlaying,255865.0
120.105025053,120,10,PLAY,Writing,1008699.0
122.469634056,122,11,PLAY,Writing,782553.0
124.011153221,124,10,PLAY,StillPlaying,323047.0
128.011903048,128,9,PLAY,StillPlaying,378355.0
130.202930212,130,10,PLAY,Writing,1008699.0
132.011602163,132,9,PLAY,StillPlaying,323047.0
133.500193119,133,10,PLAY,Writing,782553.0
136.011648178,136,9,PLAY,StillPlaying,378355.0
136.871378183,136,10,PLAY,Writing,1008699.0
140.011135101,140,9,PLAY,StillPlaying,509091.0
141.211780071,141,10,PLAY,Writing,782553.0
144.011151075,144,9,PLAY,StillPlaying,378355.0
148.011143208,148,8,PLAY,StillPlaying,509091.0
148.134717226,148,9,PLAY,Writing,1008699.0
152.018117189,152,8,PLAY,StillPlaying,577751.0
152.834241152,152,9,PLAY,Writing,577751.0
156.011135101,156,8,PLAY,StillPlaying,782553.0
156.789090157,156,9,PLAY,Writing,782553.0
160.011660099,160,8,PLAY,StillPlaying,1008699.0
161.492936134,161,9,PLAY,Writing,577751.0
163.519105196,163,10,PLAY,Writing,509091.0
164.011480093,164,9,PLAY,StillPlaying,782553.0
165.788660049,165,10,PLAY,Writing,577751.0
167.406683207,167,11,PLAY,Writing,509091.0
168.011006117,168,10,PLAY,StillPlaying,1008699.0
172.011115074,172,9,PLAY,StillPlaying,782553.0
173.030372143,173,10,PLAY,Writing,577751.0
174.713932037,174,11,PLAY,Writing,782553.0
176.011556149,176,10,PLAY,StillPlaying,1008699.0
180.011131048,180,9,PLAY,StillPlaying,782553.0
181.922372103,181,10,PLAY,Writing,1008699.0
184.011137009,184,9,PLAY,StillPlaying,1008699.0
187.478427172,187,10,PLAY,Writing,1207152.0
188.01101017,188,9,PLAY,StillPlaying,577751.0
192.011614084,192,8,PLAY,StillPlaying,782553.0
192.707575083,192,9,PLAY,Writing,782553.0
195.782267094,195,10,PLAY,Writing,1008699.0
196.010975122,196,9,PLAY,StillPlaying,577751.0
197.119919062,197,10,PLAY,Writing,577751.0
200.011126041,200,9,PLAY,StillPlaying,509091.0
200.429347038,200,10,PLAY,Writing,782553.0
202.367404222,202,11,PLAY,Writing,577751.0
204.01444912,204,10,PLAY,StillPlaying,577751.0
208.011620045,208,9,PLAY,StillPlaying,509091.0
210.023038149,210,10,PLAY,Writing,782553.0
212.011113167,212,9,PLAY,StillPlaying,577751.0
214.58703208,214,10,PLAY,Writing,1008699.0
216.011119127,216,9,PLAY,StillPlaying,782553.0
216.78000021,216,10,PLAY,Writing,782553.0
219.768314123,219,11,PLAY,Writing,1008699.0
220.010957003,220,10,PLAY,StillPlaying,1008699.0
224.011556149,224,9,PLAY,StillPlaying,1207152.0
228.01110816,228,8,PLAY,StillPlaying,782553.0
229.457830191,229,9,PLAY,Writing,782553.0
232.011135101,232,8,PLAY,StillPlaying,1008699.0
233.613442183,233,9,PLAY,Writing,577751.0
236.011636019,236,8,PLAY,StillPlaying,577751.0
238.179042101,238,9,PLAY,Writing,782553.0
240.011154175,240,8,PLAY,StillPlaying,782553.0
240.804607153,240,9,PLAY,Writing,577751.0
243.527432203,243,10,PLAY,Writing,782553.0
244.011507034,244,9,PLAY,StillPlaying,577751.0
245.271216154,245,10,PLAY,Writing,577751.0
247.575758219,247,11,PLAY,Writing,782553.0
248.011454105,248,10,PLAY,StillPlaying,782553.0
252.011118174,252,9,PLAY,StillPlaying,1008699.0
254.448214054,254,10,PLAY,Writing,1008699.0
256.011604071,256,9,PLAY,StillPlaying,782553.0
258.337354183,258,10,PLAY,Writing,1207152.0
260.011247158,260,9,PLAY,StillPlaying,1008699.0
261.406697035,261,10,PLAY,Writing,1008699.0
264.011132002,264,9,PLAY,StillPlaying,782553.0
