EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000886917114258,0,1,INITIAL_BUFFERING,Writing,45226
0.00719881057739,0,1,PLAY,InitialBuffering-Play,0
0.00897192955017,0,0,PLAY,StillPlaying,45226
0.317945957184,0,1,PLAY,Writing,88783.0
0.934795856476,0,2,PLAY,Writing,128503.0
1.72692394257,1,3,PLAY,Writing,177437.0
2.60881590843,2,4,PLAY,Writing,217761.0
3.37862086296,3,5,PLAY,Writing,255865.0
4.0137398243,4,4,PLAY,StillPlaying,88783.0
4.05940389633,4,5,PLAY,Writing,323047.0
5.47509980202,5,6,PLAY,Writing,378355.0
7.56194591522,7,7,PLAY,Writing,509091.0
8.01319384575,8,6,PLAY,StillPlaying,128503.0
9.57193899155,9,7,PLAY,Writing,577751.0
12.0133619308,12,6,PLAY,StillPlaying,177437.0
12.7724719048,12,7,PLAY,Writing,782553.0
16.0133678913,16,6,PLAY,StillPlaying,217761.0
17.5601270199,17,7,PLAY,Writing,1008699.0
20.0133459568,20,6,PLAY,StillPlaying,255865.0
22.4406859875,22,7,PLAY,Writing,782553.0
24.0133337975,24,6,PLAY,StillPlaying,323047.0
28.0133759975,28,5,PLAY,StillPlaying,378355.0
28.1021478176,28,6,PLAY,Writing,1008699.0
28.9691679478,28,7,PLAY,Writing,577751.0
29.6690649986,29,8,PLAY,Writing,782553.0
30.7143268585,30,9,PLAY,Writing,1008699.0
32.0137770176,32,8,PLAY,StillPlaying,509091.0
32.4087498188,32,9,PLAY,Writing,1207152.0
33.9744038582,33,10,PLAY,Writing,1473801.0
36.0133638382,36,9,PLAY,StillPlaying,577751.0
36.6849558353,36,10,PLAY,Writing,2087347.0
40.0137889385,40,9,PLAY,StillPlaying,782553.0
42.9976918697,42,10,PLAY,Writing,2409742.0
44.0132358074,44,9,PLAY,StillPlaying,1008699.0
48.0133669376,48,8,PLAY,StillPlaying,782553.0
50.1782958508,50,9,PLAY,Writing,2087347.0
51.6486778259,51,10,PLAY,Writing,1473801.0
52.0133159161,52,9,PLAY,StillPlaying,1008699.0
54.5593998432,54,10,PLAY,Writing,2087347.0
55.6391429901,55,11,PLAY,Writing,1473801.0
56.0132470131,56,10,PLAY,StillPlaying,577751.0
60.0133399963,60,9,PLAY,StillPlaying,782553.0
61.1344089508,61,10,PLAY,Writing,1207152.0
63.0859298706,63,11,PLAY,Writing,1473801.0
64.0132188797,64,10,PLAY,StillPlaying,1008699.0
68.0133759975,68,9,PLAY,StillPlaying,1207152.0
70.4331898689,70,10,PLAY,Writing,2087347.0
71.9435048103,71,11,PLAY,Writing,1473801.0
72.0131969452,72,10,PLAY,StillPlaying,1473801.0
76.0133287907,76,9,PLAY,StillPlaying,2087347.0
80.0018529892,79,10,PLAY,Writing,2087347.0
80.0131559372,80,9,PLAY,StillPlaying,2409742.0
83.3777768612,83,10,PLAY,Writing,1473801.0
84.0137588978,84,9,PLAY,StillPlaying,2087347.0
87.3800389767,87,10,PLAY,Writing,2087347.0
88.013299942,88,9,PLAY,StillPlaying,1473801.0
90.1064779758,90,10,PLAY,Writing,1473801.0
92.0138418674,92,9,PLAY,StillPlaying,2087347.0
94.918035984,94,10,PLAY,Writing,2087347.0
96.0138189793,96,9,PLAY,StillPlaying,1473801.0
97.6694009304,97,10,PLAY,Writing,1473801.0
100.013713837,100,9,PLAY,StillPlaying,1207152.0
102.139251947,102,10,PLAY,Writing,2087347.0
104.013362885,104,9,PLAY,StillPlaying,1473801.0
105.401342869,105,10,PLAY,Writing,1473801.0
108.013369799,108,9,PLAY,StillPlaying,2087347.0
109.327962875,109,10,PLAY,Writing,2087347.0
111.977365017,111,11,PLAY,Writing,1473801.0
112.013691902,112,10,PLAY,StillPlaying,1473801.0
116.014895916,116,9,PLAY,StillPlaying,2087347.0
120.013370991,120,8,PLAY,StillPlaying,1473801.0
120.209698915,120,9,PLAY,Writing,2087347.0
121.972808838,121,10,PLAY,Writing,1473801.0
124.013564825,124,9,PLAY,StillPlaying,2087347.0
128.013840914,128,8,PLAY,StillPlaying,1473801.0
132.013362885,132,7,PLAY,StillPlaying,2087347.0
136.013319016,136,6,PLAY,StillPlaying,1473801.0
140.013372898,140,5,PLAY,StillPlaying,2087347.0
140.913461924,140,6,PLAY,Writing,2087347.0
144.013369799,144,5,PLAY,StillPlaying,1473801.0
148.013367891,148,4,PLAY,StillPlaying,2087347.0
149.477679014,149,5,PLAY,Writing,782553.0
152.013360977,152,4,PLAY,StillPlaying,1473801.0
156.013779879,156,3,PLAY,StillPlaying,2087347.0
157.397872925,157,4,PLAY,Writing,577751.0
160.013465881,160,3,PLAY,StillPlaying,1473801.0
160.31405592,160,4,PLAY,Writing,378355.0
163.877652884,163,5,PLAY,Writing,323047.0
164.013535976,164,4,PLAY,StillPlaying,2087347.0
167.463955879,167,5,PLAY,Writing,255865.0
168.013281822,168,4,PLAY,StillPlaying,782553.0
172.013379812,172,3,PLAY,StillPlaying,577751.0
173.665511847,173,4,PLAY,Writing,323047.0
176.013297796,176,3,PLAY,StillPlaying,378355.0
176.345393896,176,4,PLAY,Writing,217761.0
180.013386965,180,3,PLAY,StillPlaying,323047.0
180.507695913,180,4,PLAY,Writing,255865.0
182.99356699,182,5,PLAY,Writing,217761.0
184.013822794,184,4,PLAY,StillPlaying,255865.0
188.013368845,188,3,PLAY,StillPlaying,323047.0
189.696547985,189,4,PLAY,Writing,255865.0
192.013750792,192,3,PLAY,StillPlaying,217761.0
194.368507862,194,4,PLAY,Writing,177437.0
196.013645887,196,3,PLAY,StillPlaying,255865.0
198.919872999,198,4,PLAY,Writing,128503.0
200.013795853,200,3,PLAY,StillPlaying,217761.0
203.094799995,203,4,PLAY,Writing,177437.0
204.013350964,204,3,PLAY,StillPlaying,255865.0
208.014958858,208,2,PLAY,StillPlaying,177437.0
208.875327826,208,3,PLAY,Writing,128503.0
210.120757818,210,4,PLAY,Writing,88783.0
210.686280966,210,5,PLAY,Writing,128503.0
212.013748884,212,4,PLAY,StillPlaying,128503.0
212.56279397,212,5,PLAY,Writing,177437.0
213.964442968,213,6,PLAY,Writing,128503.0
215.6785779,215,7,PLAY,Writing,177437.0
216.013588905,216,6,PLAY,StillPlaying,177437.0
216.939134836,216,7,PLAY,Writing,217761.0
218.048004866,218,8,PLAY,Writing,255865.0
219.497974873,219,9,PLAY,Writing,323047.0
220.013686895,220,8,PLAY,StillPlaying,128503.0
224.013366938,224,7,PLAY,StillPlaying,88783.0
228.013875008,228,6,PLAY,StillPlaying,128503.0
230.736826897,230,7,PLAY,Writing,378355.0
232.013261795,232,6,PLAY,StillPlaying,177437.0
235.501415968,235,7,PLAY,Writing,255865.0
236.013196945,236,6,PLAY,StillPlaying,128503.0
240.013793945,240,5,PLAY,StillPlaying,177437.0
243.978116989,243,6,PLAY,Writing,217761.0
244.013602018,244,5,PLAY,StillPlaying,217761.0
248.013386965,248,4,PLAY,StillPlaying,255865.0
252.013865948,252,3,PLAY,StillPlaying,323047.0
253.523856878,253,4,PLAY,Writing,177437.0
256.013381958,256,3,PLAY,StillPlaying,378355.0
256.934769869,256,4,PLAY,Writing,128503.0
258.671836853,258,5,PLAY,Writing,88783.0
260.013445854,260,4,PLAY,StillPlaying,255865.0
264.013371944,264,3,PLAY,StillPlaying,217761.0
264.371986866,264,4,PLAY,Writing,128503.0
266.227166891,266,5,PLAY,Writing,45226.0
267.203848839,267,6,PLAY,Writing,88783.0
267.896023989,267,7,PLAY,Writing,128503.0
