EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000884056091309,0,1,INITIAL_BUFFERING,Writing,45226
0.00730919837952,0,1,PLAY,InitialBuffering-Play,0
0.0092921257019,0,0,PLAY,StillPlaying,45226
0.122609138489,0,1,PLAY,Writing,88783.0
0.29204916954,0,2,PLAY,Writing,128503.0
0.544890165329,0,3,PLAY,Writing,177437.0
0.842739105225,0,4,PLAY,Writing,217761.0
1.11745715141,1,5,PLAY,Writing,255865.0
1.3773651123,1,6,PLAY,Writing,323047.0
1.9657599926,1,7,PLAY,Writing,378355.0
2.68130898476,2,8,PLAY,Writing,509091.0
3.45939803123,3,9,PLAY,Writing,577751.0
4.01384305954,4,8,PLAY,StillPlaying,88783.0
4.54361510277,4,9,PLAY,Writing,782553.0
5.95451998711,5,10,PLAY,Writing,1008699.0
7.77574706078,7,11,PLAY,Writing,1207152.0
8.01382112503,8,10,PLAY,StillPlaying,128503.0
12.0138800144,12,9,PLAY,StillPlaying,177437.0
14.5162651539,14,10,PLAY,Writing,1473801.0
16.0138921738,16,9,PLAY,StillPlaying,217761.0
19.2807581425,19,10,PLAY,Writing,2087347.0
20.01405406,20,9,PLAY,StillPlaying,255865.0
20.7326881886,20,10,PLAY,Writing,2409742.0
22.9560320377,22,11,PLAY,Writing,2087347.0
24.0144011974,24,10,PLAY,StillPlaying,323047.0
28.0143911839,28,9,PLAY,StillPlaying,378355.0
32.0144181252,32,8,PLAY,StillPlaying,509091.0
34.1740641594,34,9,PLAY,Writing,2409742.0
35.6122820377,35,10,PLAY,Writing,1473801.0
36.0146579742,36,9,PLAY,StillPlaying,577751.0
38.1278910637,38,10,PLAY,Writing,2087347.0
40.0139620304,40,9,PLAY,StillPlaying,782553.0
41.7739419937,41,10,PLAY,Writing,2409742.0
44.0144121647,44,9,PLAY,StillPlaying,1008699.0
44.346255064,44,10,PLAY,Writing,2087347.0
45.7515990734,45,11,PLAY,Writing,2409742.0
48.0139710903,48,10,PLAY,StillPlaying,1207152.0
52.0139482021,52,9,PLAY,StillPlaying,1473801.0
52.0855619907,52,10,PLAY,Writing,2944291.0
53.4097909927,53,11,PLAY,Writing,2409742.0
56.0144891739,56,10,PLAY,StillPlaying,2087347.0
58.9620211124,58,11,PLAY,Writing,2944291.0
60.0138521194,60,10,PLAY,StillPlaying,2409742.0
64.0139510632,64,9,PLAY,StillPlaying,2087347.0
65.2504379749,65,10,PLAY,Writing,2409742.0
67.2957639694,67,11,PLAY,Writing,2944291.0
68.0137581825,68,10,PLAY,StillPlaying,2409742.0
72.0139169693,72,9,PLAY,StillPlaying,1473801.0
73.4908871651,73,10,PLAY,Writing,3340509.0
76.0141580105,76,9,PLAY,StillPlaying,2087347.0
77.9860591888,77,10,PLAY,Writing,2944291.0
80.0141580105,80,9,PLAY,StillPlaying,2409742.0
82.192658186,82,10,PLAY,Writing,2409742.0
84.014083147,84,9,PLAY,StillPlaying,2087347.0
86.0449120998,86,10,PLAY,Writing,2944291.0
88.013985157,88,9,PLAY,StillPlaying,2409742.0
88.8771071434,88,10,PLAY,Writing,2409742.0
92.0139842033,92,9,PLAY,StillPlaying,2944291.0
96.0144619942,96,8,PLAY,StillPlaying,2409742.0
100.014350176,100,7,PLAY,StillPlaying,2944291.0
100.574958086,100,8,PLAY,Writing,2944291.0
104.014324188,104,7,PLAY,StillPlaying,2409742.0
106.428115129,106,8,PLAY,Writing,1473801.0
108.013936996,108,7,PLAY,StillPlaying,2944291.0
112.01396203,112,6,PLAY,StillPlaying,3340509.0
116.014425039,116,5,PLAY,StillPlaying,2944291.0
116.188477993,116,6,PLAY,Writing,2087347.0
120.01395607,120,5,PLAY,StillPlaying,2409742.0
122.626314163,122,6,PLAY,Writing,1207152.0
124.013895988,124,5,PLAY,StillPlaying,2944291.0
126.28532505,126,6,PLAY,Writing,782553.0
128.013920069,128,5,PLAY,StillPlaying,2409742.0
131.436738968,131,6,PLAY,Writing,1008699.0
132.013825178,132,5,PLAY,StillPlaying,2944291.0
133.747796059,133,6,PLAY,Writing,782553.0
135.205790043,135,7,PLAY,Writing,1008699.0
136.013928175,136,6,PLAY,StillPlaying,1473801.0
136.913190126,136,7,PLAY,Writing,782553.0
140.0140872,140,6,PLAY,StillPlaying,2087347.0
140.887036085,140,7,PLAY,Writing,1008699.0
143.018597126,143,8,PLAY,Writing,782553.0
144.013893127,144,7,PLAY,StillPlaying,1207152.0
145.572762012,145,8,PLAY,Writing,1008699.0
148.013957977,148,7,PLAY,StillPlaying,782553.0
148.40549612,148,8,PLAY,Writing,1207152.0
150.363481998,150,9,PLAY,Writing,1008699.0
152.014737129,152,8,PLAY,StillPlaying,1008699.0
152.850313187,152,9,PLAY,Writing,1207152.0
154.647505999,154,10,PLAY,Writing,1473801.0
156.013954163,156,9,PLAY,StillPlaying,782553.0
160.013930082,160,8,PLAY,StillPlaying,1008699.0
164.014330149,164,7,PLAY,StillPlaying,782553.0
168.013961077,168,6,PLAY,StillPlaying,1008699.0
168.362733126,168,7,PLAY,Writing,2087347.0
170.94067502,170,8,PLAY,Writing,1008699.0
172.013946056,172,7,PLAY,StillPlaying,782553.0
172.824675083,172,8,PLAY,Writing,782553.0
174.89517498,174,9,PLAY,Writing,1008699.0
176.013940096,176,8,PLAY,StillPlaying,1008699.0
176.762216091,176,9,PLAY,Writing,782553.0
179.391399145,179,10,PLAY,Writing,1008699.0
180.01417017,180,9,PLAY,StillPlaying,1207152.0
183.327740192,183,10,PLAY,Writing,1207152.0
184.014358044,184,9,PLAY,StillPlaying,1008699.0
188.014463186,188,8,PLAY,StillPlaying,1207152.0
192.014433146,192,7,PLAY,StillPlaying,1473801.0
196.013911009,196,6,PLAY,StillPlaying,2087347.0
196.130023003,196,7,PLAY,Writing,1473801.0
200.013946056,200,6,PLAY,StillPlaying,1008699.0
204.01444912,204,5,PLAY,StillPlaying,782553.0
208.013957977,208,4,PLAY,StillPlaying,1008699.0
212.014425039,212,3,PLAY,StillPlaying,782553.0
215.797326088,215,4,PLAY,Writing,577751.0
216.01424408,216,3,PLAY,StillPlaying,1008699.0
219.431531191,219,4,PLAY,Writing,378355.0
220.013834,220,3,PLAY,StillPlaying,1207152.0
222.64252615,222,4,PLAY,Writing,255865.0
224.014280081,224,3,PLAY,StillPlaying,1473801.0
224.935913086,224,4,PLAY,Writing,217761.0
226.342568159,226,5,PLAY,Writing,128503.0
227.507536173,227,6,PLAY,Writing,177437.0
228.014248133,228,5,PLAY,StillPlaying,577751.0
228.864052057,228,6,PLAY,Writing,217761.0
230.51592207,230,7,PLAY,Writing,255865.0
232.013923168,232,6,PLAY,StillPlaying,378355.0
232.794300079,232,7,PLAY,Writing,323047.0
235.212095022,235,8,PLAY,Writing,378355.0
236.014310122,236,7,PLAY,StillPlaying,255865.0
237.762783051,237,8,PLAY,Writing,509091.0
240.014384985,240,7,PLAY,StillPlaying,217761.0
241.039746046,241,8,PLAY,Writing,577751.0
244.013924122,244,7,PLAY,StillPlaying,128503.0
244.195458174,244,8,PLAY,Writing,509091.0
246.282735109,246,9,PLAY,Writing,577751.0
248.013919115,248,8,PLAY,StillPlaying,177437.0
248.818861008,248,9,PLAY,Writing,782553.0
249.779620171,249,10,PLAY,Writing,577751.0
251.257129192,251,11,PLAY,Writing,782553.0
252.013851166,252,10,PLAY,StillPlaying,217761.0
256.013908148,256,9,PLAY,StillPlaying,255865.0
258.260677099,258,10,PLAY,Writing,1008699.0
260.013878107,260,9,PLAY,StillPlaying,323047.0
