EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.00103688240051,0,1,INITIAL_BUFFERING,Writing,45226
0.00641393661499,0,1,PLAY,InitialBuffering-Play,0
0.0109000205994,0,0,PLAY,StillPlaying,45226
1.40981197357,1,1,PLAY,Writing,45226
2.39530706406,2,2,PLAY,Writing,45226
3.37339901924,3,3,PLAY,Writing,45226
4.01323795319,4,2,PLAY,StillPlaying,45226
4.02445602417,4,3,PLAY,Writing,45226
5.35414505005,5,4,PLAY,Writing,45226
7.18971896172,7,5,PLAY,Writing,45226
7.85243010521,7,6,PLAY,Writing,45226
8.0130109787,8,5,PLAY,StillPlaying,45226
10.0398650169,10,6,PLAY,Writing,45226
11.4265010357,11,7,PLAY,Writing,45226
12.0132200718,12,6,PLAY,StillPlaying,45226
13.7719559669,13,7,PLAY,Writing,45226
14.5521030426,14,8,PLAY,Writing,45226
14.9734990597,14,9,PLAY,Writing,88783
15.377712965,15,10,PLAY,Writing,88783
16.0126640797,16,9,PLAY,StillPlaying,45226
16.0394830704,16,10,PLAY,Writing,128503
16.5021181107,16,11,PLAY,Writing,128503
17.0499620438,17,12,PLAY,Writing,128503
17.6823019981,17,13,PLAY,Writing,128503
18.4804549217,18,14,PLAY,Writing,177437
19.2408339977,19,15,PLAY,Writing,177437
20.0127029419,20,14,PLAY,StillPlaying,45226
20.3555030823,20,15,PLAY,Writing,217761
21.6213340759,21,16,PLAY,Writing,217761
22.6096889973,22,17,PLAY,Writing,217761
23.5556490421,23,18,PLAY,Writing,217761
24.0131790638,24,17,PLAY,StillPlaying,45226
24.6409049034,24,18,PLAY,Writing,255865
25.7214899063,25,19,PLAY,Writing,255865
26.8514299393,26,20,PLAY,Writing,255865
28.0132529736,28,19,PLAY,StillPlaying,45226
29.3398599625,29,20,PLAY,Writing,323047
30.866617918,30,21,PLAY,Writing,323047
32.0132300854,32,20,PLAY,StillPlaying,45226
32.8280649185,32,21,PLAY,Writing,323047
34.8680460453,34,22,PLAY,Writing,323047
36.0132660866,36,21,PLAY,StillPlaying,45226
37.6540009975,37,22,PLAY,Writing,323047
40.0136909485,40,21,PLAY,StillPlaying,45226
44.0134029388,44,20,PLAY,StillPlaying,45226
48.012748003,48,19,PLAY,StillPlaying,88783
49.4243519306,49,20,PLAY,Writing,323047
52.0132129192,52,19,PLAY,StillPlaying,88783
56.014113903,56,18,PLAY,StillPlaying,128503
58.1422650814,58,19,PLAY,Writing,323047
60.0128378868,60,18,PLAY,StillPlaying,128503
64.0127689838,64,17,PLAY,StillPlaying,128503
64.0524840355,64,18,PLAY,Writing,255865
68.0127449036,68,17,PLAY,StillPlaying,128503
72.0127520561,72,16,PLAY,StillPlaying,177437
74.1096510887,74,17,PLAY,Writing,255865
76.0127079487,76,16,PLAY,StillPlaying,177437
80.013231039,80,15,PLAY,StillPlaying,217761
81.9767820835,81,16,PLAY,Writing,217761
84.0128540993,84,15,PLAY,StillPlaying,217761
86.8287110329,86,16,PLAY,Writing,217761
88.0132570267,88,15,PLAY,StillPlaying,217761
92.0127429962,92,14,PLAY,StillPlaying,217761
93.5911641121,93,15,PLAY,Writing,217761
96.013240099,96,14,PLAY,StillPlaying,255865
100.013264894,100,13,PLAY,StillPlaying,255865
100.344750881,100,14,PLAY,Writing,217761
103.274209023,103,15,PLAY,Writing,177437
104.012710094,104,14,PLAY,StillPlaying,255865
106.468188047,106,15,PLAY,Writing,217761
108.012726068,108,14,PLAY,StillPlaying,323047
111.529233932,111,15,PLAY,Writing,217761
112.013053894,112,14,PLAY,StillPlaying,323047
116.013285875,116,13,PLAY,StillPlaying,323047
117.123375893,117,14,PLAY,Writing,217761
120.013214111,120,13,PLAY,StillPlaying,323047
120.130434036,120,14,PLAY,Writing,177437
123.407680988,123,15,PLAY,Writing,177437
124.01273489,124,14,PLAY,StillPlaying,323047
127.709464073,127,15,PLAY,Writing,217761
128.01316309,128,14,PLAY,StillPlaying,323047
132.013269901,132,13,PLAY,StillPlaying,323047
133.301368952,133,14,PLAY,Writing,217761
135.641460896,135,15,PLAY,Writing,177437
136.012602091,136,14,PLAY,StillPlaying,255865
138.333472967,138,15,PLAY,Writing,217761
140.012701035,140,14,PLAY,StillPlaying,255865
140.951581001,140,15,PLAY,Writing,217761
144.013235092,144,14,PLAY,StillPlaying,217761
148.012754917,148,13,PLAY,StillPlaying,217761
149.827225924,149,14,PLAY,Writing,217761
152.013254881,152,13,PLAY,StillPlaying,217761
156.012880087,156,12,PLAY,StillPlaying,217761
157.337713003,157,13,PLAY,Writing,177437
160.012747049,160,12,PLAY,StillPlaying,177437
164.013277054,164,11,PLAY,StillPlaying,217761
164.9547019,164,12,PLAY,Writing,177437
168.013259888,168,11,PLAY,StillPlaying,217761
168.998995066,168,12,PLAY,Writing,128503
172.013421059,172,11,PLAY,StillPlaying,217761
176.013272047,176,10,PLAY,StillPlaying,177437
180.013138056,180,9,PLAY,StillPlaying,177437
180.101996899,180,10,PLAY,Writing,128503
180.953412056,180,11,PLAY,Writing,128503
182.162394047,182,12,PLAY,Writing,128503
184.013232946,184,11,PLAY,StillPlaying,217761
184.129004955,184,12,PLAY,Writing,128503
186.200397968,186,13,PLAY,Writing,128503
188.013243914,188,12,PLAY,StillPlaying,217761
188.333332062,188,13,PLAY,Writing,177437
190.519428015,190,14,PLAY,Writing,177437
192.013449907,192,13,PLAY,StillPlaying,177437
193.063340902,193,14,PLAY,Writing,177437
196.013297081,196,13,PLAY,StillPlaying,217761
200.012821913,200,12,PLAY,StillPlaying,217761
200.716370106,200,13,PLAY,Writing,177437
204.0132761,204,12,PLAY,StillPlaying,217761
205.60302496,205,13,PLAY,Writing,177437
208.012742043,208,12,PLAY,StillPlaying,177437
211.883209944,211,13,PLAY,Writing,177437
212.012583971,212,12,PLAY,StillPlaying,177437
215.878031015,215,13,PLAY,Writing,177437
216.012976885,216,12,PLAY,StillPlaying,128503
218.522262096,218,13,PLAY,Writing,177437
220.01322794,220,12,PLAY,StillPlaying,128503
222.859168053,222,13,PLAY,Writing,177437
224.013271093,224,12,PLAY,StillPlaying,128503
225.961190939,225,13,PLAY,Writing,177437
228.01324892,228,12,PLAY,StillPlaying,128503
229.802776098,229,13,PLAY,Writing,177437
232.012724876,232,12,PLAY,StillPlaying,128503
232.872796059,232,13,PLAY,Writing,177437
236.013215065,236,12,PLAY,StillPlaying,128503
236.583086967,236,13,PLAY,Writing,177437
239.304742098,239,14,PLAY,Writing,177437
240.013132095,240,13,PLAY,StillPlaying,177437
242.314703941,242,14,PLAY,Writing,177437
244.013427973,244,13,PLAY,StillPlaying,177437
246.756226063,246,14,PLAY,Writing,177437
248.013226986,248,13,PLAY,StillPlaying,177437
252.012747049,252,12,PLAY,StillPlaying,177437
254.88024497,254,13,PLAY,Writing,177437
256.01364994,256,12,PLAY,StillPlaying,177437
260.01334691,260,11,PLAY,StillPlaying,177437
263.39526701,263,12,PLAY,Writing,177437
264.012737989,264,11,PLAY,StillPlaying,177437
267.088634968,267,12,PLAY,Writing,128503
268.013669968,268,11,PLAY,StillPlaying,177437
272.013349056,272,10,PLAY,StillPlaying,177437
276.012784004,276,9,PLAY,StillPlaying,177437
276.076853037,276,10,PLAY,Writing,128503
276.898004055,276,11,PLAY,Writing,128503
277.598896027,277,12,PLAY,Writing,128503
278.409621954,278,13,PLAY,Writing,128503
279.48734808,279,14,PLAY,Writing,177437
280.013246059,280,13,PLAY,StillPlaying,177437
280.483921051,280,14,PLAY,Writing,177437
