EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000745058059692,0,1,INITIAL_BUFFERING,Writing,45226
0.00629806518555,0,1,PLAY,InitialBuffering-Play,0
0.00807595252991,0,0,PLAY,StillPlaying,45226
0.306077003479,0,1,PLAY,Writing,45226
0.982674121857,0,2,PLAY,Writing,45226
1.4470770359,1,3,PLAY,Writing,45226
1.70066595078,1,4,PLAY,Writing,45226
2.19828796387,2,5,PLAY,Writing,45226
2.68597698212,2,6,PLAY,Writing,45226
3.16817903519,3,7,PLAY,Writing,45226
3.54167509079,3,8,PLAY,Writing,45226
4.00958704948,4,7,PLAY,StillPlaying,45226
4.13267302513,4,8,PLAY,Writing,88783
4.72272205353,4,9,PLAY,Writing,88783
5.2005109787,5,10,PLAY,Writing,88783
6.51638412476,6,11,PLAY,Writing,128503
7.49207305908,7,12,PLAY,Writing,128503
8.00999712944,8,11,PLAY,StillPlaying,45226
8.63805103302,8,12,PLAY,Writing,128503
9.38471913338,9,13,PLAY,Writing,128503
10.4114589691,10,14,PLAY,Writing,177437
11.4341161251,11,15,PLAY,Writing,177437
12.0096590519,12,14,PLAY,StillPlaying,45226
12.6861419678,12,15,PLAY,Writing,217761
13.993751049,13,16,PLAY,Writing,217761
16.0097370148,16,15,PLAY,StillPlaying,45226
17.23218894,17,16,PLAY,Writing,217761
18.5584890842,18,17,PLAY,Writing,217761
19.1980929375,19,18,PLAY,Writing,217761
19.8294570446,19,19,PLAY,Writing,255865
20.0095670223,20,18,PLAY,StillPlaying,45226
20.3245971203,20,19,PLAY,Writing,255865
20.8455250263,20,20,PLAY,Writing,255865
22.7757220268,22,21,PLAY,Writing,323047
24.0096740723,24,20,PLAY,StillPlaying,45226
27.8925309181,27,21,PLAY,Writing,323047
28.0099980831,28,20,PLAY,StillPlaying,45226
31.1654789448,31,21,PLAY,Writing,323047
32.009649992,32,20,PLAY,StillPlaying,45226
35.0765359402,35,21,PLAY,Writing,323047
36.009691,36,20,PLAY,StillPlaying,88783
38.1098771095,38,21,PLAY,Writing,323047
40.0102000237,40,20,PLAY,StillPlaying,88783
41.1465320587,41,21,PLAY,Writing,323047
43.7331330776,43,22,PLAY,Writing,323047
44.0100381374,44,21,PLAY,StillPlaying,88783
47.0518591404,47,22,PLAY,Writing,323047
48.0096609592,48,21,PLAY,StillPlaying,128503
50.3294241428,50,22,PLAY,Writing,323047
52.0097339153,52,21,PLAY,StillPlaying,128503
53.8793921471,53,22,PLAY,Writing,323047
56.0102329254,56,21,PLAY,StillPlaying,128503
56.58715415,56,22,PLAY,Writing,323047
58.3259050846,58,23,PLAY,Writing,323047
60.0102109909,60,22,PLAY,StillPlaying,128503
60.8462970257,60,23,PLAY,Writing,378355
62.8986620903,62,24,PLAY,Writing,378355
63.8231959343,63,25,PLAY,Writing,378355
64.0095820427,64,24,PLAY,StillPlaying,177437
66.7791130543,66,25,PLAY,Writing,509091
68.0104980469,68,24,PLAY,StillPlaying,177437
72.0097420216,72,23,PLAY,StillPlaying,217761
72.2443139553,72,24,PLAY,Writing,509091
76.0097651482,76,23,PLAY,StillPlaying,217761
76.541779995,76,24,PLAY,Writing,378355
79.13418293,79,25,PLAY,Writing,378355
80.0101130009,80,24,PLAY,StillPlaying,217761
84.0102000237,84,23,PLAY,StillPlaying,217761
85.3457629681,85,24,PLAY,Writing,509091
88.0102109909,88,23,PLAY,StillPlaying,217761
90.5478219986,90,24,PLAY,Writing,378355
92.0097029209,92,23,PLAY,StillPlaying,255865
94.73934412,94,24,PLAY,Writing,378355
96.0100979805,96,23,PLAY,StillPlaying,255865
96.3784639835,96,24,PLAY,Writing,378355
100.010213137,100,23,PLAY,StillPlaying,255865
101.16186595,101,24,PLAY,Writing,378355
104.010446072,104,23,PLAY,StillPlaying,323047
104.368916988,104,24,PLAY,Writing,378355
106.280853987,106,25,PLAY,Writing,378355
107.648287058,107,26,PLAY,Writing,509091
108.010049105,108,25,PLAY,StillPlaying,323047
109.671858072,109,26,PLAY,Writing,509091
111.759890079,111,27,PLAY,Writing,509091
112.00961113,112,26,PLAY,StillPlaying,323047
113.790552139,113,27,PLAY,Writing,509091
114.98034811,114,28,PLAY,Writing,509091
116.010230064,116,27,PLAY,StillPlaying,323047
116.946301937,116,28,PLAY,Writing,577751
119.588292122,119,29,PLAY,Writing,577751
120.009819984,120,28,PLAY,StillPlaying,323047
121.718163013,121,29,PLAY,Writing,577751
123.162009954,123,30,PLAY,Writing,577751
124.01016593,124,29,PLAY,StillPlaying,323047
126.00424695,125,30,PLAY,Writing,782553
128.010216951,128,29,PLAY,StillPlaying,323047
129.032032013,129,30,PLAY,Writing,782553
132.009756088,132,29,PLAY,StillPlaying,323047
132.802407026,132,30,PLAY,Writing,782553
136.010252953,136,29,PLAY,StillPlaying,323047
136.257985115,136,30,PLAY,Writing,782553
139.500927925,139,31,PLAY,Writing,782553
140.010119915,140,30,PLAY,StillPlaying,323047
144.009732008,144,29,PLAY,StillPlaying,323047
144.787828922,144,30,PLAY,Writing,782553
148.010591984,148,29,PLAY,StillPlaying,323047
148.668470144,148,30,PLAY,Writing,782553
152.00987792,152,29,PLAY,StillPlaying,378355
154.786705017,154,30,PLAY,Writing,782553
156.010194063,156,29,PLAY,StillPlaying,378355
160.009748936,160,28,PLAY,StillPlaying,378355
160.697451115,160,29,PLAY,Writing,782553
164.009732008,164,28,PLAY,StillPlaying,509091
164.071058035,164,29,PLAY,Writing,577751
166.599264145,166,30,PLAY,Writing,577751
168.009675026,168,29,PLAY,StillPlaying,509091
168.997496128,168,30,PLAY,Writing,782553
171.045201063,171,31,PLAY,Writing,782553
172.009663105,172,30,PLAY,StillPlaying,378355
172.947184086,172,31,PLAY,Writing,782553
174.555668116,174,32,PLAY,Writing,782553
176.009741068,176,31,PLAY,StillPlaying,378355
176.071044922,176,32,PLAY,Writing,782553
178.377659082,178,33,PLAY,Writing,782553
180.009726048,180,32,PLAY,StillPlaying,509091
181.047896147,181,33,PLAY,Writing,1008699
184.009752989,184,32,PLAY,StillPlaying,378355
187.829241991,187,33,PLAY,Writing,1008699
188.009612083,188,32,PLAY,StillPlaying,378355
192.010226011,192,31,PLAY,StillPlaying,378355
194.468969107,194,32,PLAY,Writing,1008699
196.010200977,196,31,PLAY,StillPlaying,378355
196.753793001,196,32,PLAY,Writing,782553
199.556338072,199,33,PLAY,Writing,782553
200.009598017,200,32,PLAY,StillPlaying,378355
203.96274209,203,33,PLAY,Writing,1008699
204.010334969,204,32,PLAY,StillPlaying,378355
208.010229111,208,31,PLAY,StillPlaying,509091
209.252356052,209,32,PLAY,Writing,1008699
212.009761095,212,31,PLAY,StillPlaying,509091
212.101042032,212,32,PLAY,Writing,782553
215.06249094,215,33,PLAY,Writing,782553
216.009732962,216,32,PLAY,StillPlaying,509091
218.597814083,218,33,PLAY,Writing,1008699
220.009732008,220,32,PLAY,StillPlaying,509091
222.208609104,222,33,PLAY,Writing,1008699
224.009742975,224,32,PLAY,StillPlaying,509091
228.009711027,228,31,PLAY,StillPlaying,577751
230.369462013,230,32,PLAY,Writing,1008699
232.009735107,232,31,PLAY,StillPlaying,577751
236.010172129,236,30,PLAY,StillPlaying,577751
236.072490931,236,31,PLAY,Writing,782553
239.738187075,239,32,PLAY,Writing,782553
240.009663105,240,31,PLAY,StillPlaying,577751
242.95676899,242,32,PLAY,Writing,782553
244.010097027,244,31,PLAY,StillPlaying,782553
245.368385077,245,32,PLAY,Writing,782553
247.641802073,247,33,PLAY,Writing,782553
