EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.00102877616882,0,1,INITIAL_BUFFERING,Writing,45226
0.00667285919189,0,1,PLAY,InitialBuffering-Play,0
0.00910878181458,0,0,PLAY,StillPlaying,45226
0.2243309021,0,1,PLAY,Writing,45226
0.707156896591,0,2,PLAY,Writing,45226
1.02538394928,1,3,PLAY,Writing,45226
1.27321982384,1,4,PLAY,Writing,45226
1.52673387527,1,5,PLAY,Writing,45226
1.78787088394,1,6,PLAY,Writing,45226
2.07796192169,2,7,PLAY,Writing,45226
3.02122187614,3,8,PLAY,Writing,45226
3.58347082138,3,9,PLAY,Writing,88783
4.01444292068,4,8,PLAY,StillPlaying,45226
4.19355583191,4,9,PLAY,Writing,88783
4.55812692642,4,10,PLAY,Writing,88783
5.1271378994,5,11,PLAY,Writing,128503
5.54630899429,5,12,PLAY,Writing,128503
5.93439698219,5,13,PLAY,Writing,128503
6.35644984245,6,14,PLAY,Writing,177437
6.84095478058,6,15,PLAY,Writing,177437
7.41705989838,7,16,PLAY,Writing,217761
7.96636080742,7,17,PLAY,Writing,217761
8.01497077942,8,16,PLAY,StillPlaying,45226
8.54352092743,8,17,PLAY,Writing,217761
9.2124710083,9,18,PLAY,Writing,217761
9.98236894608,9,19,PLAY,Writing,255865
10.5082039833,10,20,PLAY,Writing,255865
11.2333788872,11,21,PLAY,Writing,323047
11.8281338215,11,22,PLAY,Writing,323047
12.0148999691,12,21,PLAY,StillPlaying,45226
12.425577879,12,22,PLAY,Writing,323047
13.20480299,13,23,PLAY,Writing,323047
14.1453258991,14,24,PLAY,Writing,378355
14.8136079311,14,25,PLAY,Writing,378355
16.0145788193,16,24,PLAY,StillPlaying,45226
16.3645079136,16,25,PLAY,Writing,509091
17.5672938824,17,26,PLAY,Writing,509091
18.6388988495,18,27,PLAY,Writing,509091
19.3167858124,19,28,PLAY,Writing,509091
20.0145750046,20,27,PLAY,StillPlaying,45226
20.339127779,20,28,PLAY,Writing,577751
21.7755379677,21,29,PLAY,Writing,577751
24.0150368214,24,28,PLAY,StillPlaying,45226
24.7572147846,24,29,PLAY,Writing,577751
28.0145688057,28,28,PLAY,StillPlaying,45226
28.1340959072,28,29,PLAY,Writing,577751
29.9730298519,29,30,PLAY,Writing,577751
32.0146119595,32,29,PLAY,StillPlaying,45226
32.123513937,32,30,PLAY,Writing,782553
34.1905620098,34,31,PLAY,Writing,782553
35.8590478897,35,32,PLAY,Writing,782553
36.0144519806,36,31,PLAY,StillPlaying,88783
38.9655818939,38,32,PLAY,Writing,782553
40.015037775,40,31,PLAY,StillPlaying,88783
44.0146169662,44,30,PLAY,StillPlaying,88783
44.468806982,44,31,PLAY,Writing,782553
46.8020339012,46,32,PLAY,Writing,782553
48.0145909786,48,31,PLAY,StillPlaying,128503
48.9355199337,48,32,PLAY,Writing,782553
51.5058588982,51,33,PLAY,Writing,782553
52.0149970055,52,32,PLAY,StillPlaying,128503
54.3382749557,54,33,PLAY,Writing,1008699
56.0151798725,56,32,PLAY,StillPlaying,128503
56.9234879017,56,33,PLAY,Writing,1008699
58.8342788219,58,34,PLAY,Writing,1008699
60.0145728588,60,33,PLAY,StillPlaying,177437
60.9998569489,60,34,PLAY,Writing,1008699
62.6069078445,62,35,PLAY,Writing,1008699
64.0145909786,64,34,PLAY,StillPlaying,177437
64.7670660019,64,35,PLAY,Writing,1207152
68.0146279335,68,34,PLAY,StillPlaying,217761
69.5982558727,69,35,PLAY,Writing,1207152
72.0146207809,72,34,PLAY,StillPlaying,217761
73.9347159863,73,35,PLAY,Writing,1207152
76.0146119595,76,34,PLAY,StillPlaying,217761
77.1443669796,77,35,PLAY,Writing,1207152
80.0145800114,80,34,PLAY,StillPlaying,217761
80.152037859,80,35,PLAY,Writing,1207152
81.9320888519,81,36,PLAY,Writing,1207152
84.0146110058,84,35,PLAY,StillPlaying,255865
84.4414088726,84,36,PLAY,Writing,1207152
86.7495307922,86,37,PLAY,Writing,1207152
88.0150330067,88,36,PLAY,StillPlaying,255865
88.6156117916,88,37,PLAY,Writing,1207152
91.1652538776,91,38,PLAY,Writing,1207152
92.0145440102,92,37,PLAY,StillPlaying,323047
96.0150909424,96,36,PLAY,StillPlaying,323047
96.9376637936,96,37,PLAY,Writing,1473801
100.015064955,100,36,PLAY,StillPlaying,323047
100.666598797,100,37,PLAY,Writing,1207152
104.01509285,104,36,PLAY,StillPlaying,323047
105.045633793,105,37,PLAY,Writing,1207152
108.01482296,108,36,PLAY,StillPlaying,378355
108.358479977,108,37,PLAY,Writing,1207152
111.3409729,111,38,PLAY,Writing,1207152
112.014580011,112,37,PLAY,StillPlaying,378355
114.503167868,114,38,PLAY,Writing,1473801
116.014986992,116,37,PLAY,StillPlaying,509091
118.468942881,118,38,PLAY,Writing,1473801
120.01479888,120,37,PLAY,StillPlaying,509091
123.609485865,123,38,PLAY,Writing,1473801
124.014997005,124,37,PLAY,StillPlaying,509091
128.015074968,128,36,PLAY,StillPlaying,509091
128.50096488,128,37,PLAY,Writing,1473801
131.910859823,131,38,PLAY,Writing,1207152
132.014487982,132,37,PLAY,StillPlaying,577751
136.014816999,136,36,PLAY,StillPlaying,577751
136.664979935,136,37,PLAY,Writing,1473801
139.706227779,139,38,PLAY,Writing,1207152
140.014442921,140,37,PLAY,StillPlaying,577751
142.437388897,142,38,PLAY,Writing,1473801
144.014595985,144,37,PLAY,StillPlaying,577751
148.014597893,148,36,PLAY,StillPlaying,577751
148.57505393,148,37,PLAY,Writing,1473801
152.014611959,152,36,PLAY,StillPlaying,782553
153.086627007,153,37,PLAY,Writing,1207152
156.015077829,156,36,PLAY,StillPlaying,782553
160.014568806,160,35,PLAY,StillPlaying,782553
160.053216934,160,36,PLAY,Writing,1207152
164.015102863,164,35,PLAY,StillPlaying,782553
168.014580011,168,34,PLAY,StillPlaying,782553
170.569607973,170,35,PLAY,Writing,1207152
172.014576912,172,34,PLAY,StillPlaying,782553
176.0146029,176,33,PLAY,StillPlaying,782553
177.153162956,177,34,PLAY,Writing,1207152
180.014637947,180,33,PLAY,StillPlaying,782553
183.239771843,183,34,PLAY,Writing,1008699
184.014556885,184,33,PLAY,StillPlaying,1008699
188.014598846,188,32,PLAY,StillPlaying,1008699
188.346076012,188,33,PLAY,Writing,1008699
192.015108824,192,32,PLAY,StillPlaying,1008699
194.296068907,194,33,PLAY,Writing,1008699
196.014556885,196,32,PLAY,StillPlaying,1008699
200.015081882,200,31,PLAY,StillPlaying,1008699
201.428450823,201,32,PLAY,Writing,1008699
204.014589787,204,31,PLAY,StillPlaying,1207152
208.015096903,208,30,PLAY,StillPlaying,1207152
209.292937994,209,31,PLAY,Writing,782553
212.014607906,212,30,PLAY,StillPlaying,1207152
216.014616013,216,29,PLAY,StillPlaying,1207152
218.503540993,218,30,PLAY,Writing,782553
220.015066862,220,29,PLAY,StillPlaying,1207152
223.796748877,223,30,PLAY,Writing,782553
224.014417887,224,29,PLAY,StillPlaying,1207152
228.014616013,228,28,PLAY,StillPlaying,1207152
231.864931822,231,29,PLAY,Writing,782553
232.014410973,232,28,PLAY,StillPlaying,1207152
233.37527895,233,29,PLAY,Writing,577751
234.546027899,234,30,PLAY,Writing,577751
235.972646952,235,31,PLAY,Writing,782553
236.014410973,236,30,PLAY,StillPlaying,1207152
237.446964979,237,31,PLAY,Writing,782553
238.908451796,238,32,PLAY,Writing,782553
240.014462948,240,31,PLAY,StillPlaying,1207152
240.934964895,240,32,PLAY,Writing,782553
