EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000741004943848,0,1,INITIAL_BUFFERING,Writing,45226
0.00632190704346,0,1,PLAY,InitialBuffering-Play,0
0.00837397575378,0,0,PLAY,StillPlaying,45226
0.132876873016,0,1,PLAY,Writing,45226
0.392529010773,0,2,PLAY,Writing,45226
0.619687795639,0,3,PLAY,Writing,45226
0.74705696106,0,4,PLAY,Writing,45226
0.986928939819,0,5,PLAY,Writing,45226
1.18147277832,1,6,PLAY,Writing,45226
1.37437987328,1,7,PLAY,Writing,45226
1.51079082489,1,8,PLAY,Writing,45226
1.95061182976,1,9,PLAY,Writing,88783
2.3742749691,2,10,PLAY,Writing,88783
3.05164980888,3,11,PLAY,Writing,128503
3.65729093552,3,12,PLAY,Writing,128503
4.01282691956,4,11,PLAY,StillPlaying,45226
4.25871181488,4,12,PLAY,Writing,128503
4.84062790871,4,13,PLAY,Writing,128503
5.47889280319,5,14,PLAY,Writing,177437
6.1939239502,6,15,PLAY,Writing,177437
7.05657887459,7,16,PLAY,Writing,217761
7.87867879868,7,17,PLAY,Writing,217761
8.01629590988,8,16,PLAY,StillPlaying,45226
8.73344087601,8,17,PLAY,Writing,217761
9.7369799614,9,18,PLAY,Writing,217761
10.9719319344,10,19,PLAY,Writing,255865
11.8643968105,11,20,PLAY,Writing,255865
12.0127909184,12,19,PLAY,StillPlaying,45226
12.8891849518,12,20,PLAY,Writing,323047
13.6484568119,13,21,PLAY,Writing,323047
14.5420877934,14,22,PLAY,Writing,323047
15.6610708237,15,23,PLAY,Writing,323047
16.0128929615,16,22,PLAY,StillPlaying,45226
17.010737896,16,23,PLAY,Writing,378355
18.1644818783,18,24,PLAY,Writing,378355
19.9016208649,19,25,PLAY,Writing,378355
20.0128087997,20,24,PLAY,StillPlaying,45226
22.2033929825,22,25,PLAY,Writing,509091
24.0129239559,24,24,PLAY,StillPlaying,45226
24.514674902,24,25,PLAY,Writing,509091
26.6835668087,26,26,PLAY,Writing,509091
28.0128707886,28,25,PLAY,StillPlaying,45226
29.0473639965,29,26,PLAY,Writing,509091
31.4521429539,31,27,PLAY,Writing,509091
32.0128448009,32,26,PLAY,StillPlaying,45226
33.8426389694,33,27,PLAY,Writing,509091
36.0129048824,36,26,PLAY,StillPlaying,88783
36.2980139256,36,27,PLAY,Writing,509091
38.4022369385,38,28,PLAY,Writing,509091
40.0132758617,40,27,PLAY,StillPlaying,88783
41.0022208691,40,28,PLAY,Writing,577751
43.6113059521,43,29,PLAY,Writing,577751
44.012857914,44,28,PLAY,StillPlaying,128503
45.3230929375,45,29,PLAY,Writing,577751
47.742210865,47,30,PLAY,Writing,577751
48.012762785,48,29,PLAY,StillPlaying,128503
50.8692848682,50,30,PLAY,Writing,782553
52.0129048824,52,29,PLAY,StillPlaying,128503
53.8183059692,53,30,PLAY,Writing,782553
56.0128798485,56,29,PLAY,StillPlaying,128503
56.6812388897,56,30,PLAY,Writing,782553
60.0134489536,60,29,PLAY,StillPlaying,177437
60.1919670105,60,30,PLAY,Writing,782553
63.6758949757,63,31,PLAY,Writing,782553
64.0133187771,64,30,PLAY,StillPlaying,177437
67.3682889938,67,31,PLAY,Writing,782553
68.012803793,68,30,PLAY,StillPlaying,217761
70.0084469318,69,31,PLAY,Writing,782553
72.013425827,72,30,PLAY,StillPlaying,217761
73.2539618015,73,31,PLAY,Writing,782553
75.9254858494,75,32,PLAY,Writing,782553
76.0132420063,76,31,PLAY,StillPlaying,217761
79.2386529446,79,32,PLAY,Writing,782553
80.0133099556,80,31,PLAY,StillPlaying,217761
82.338367939,82,32,PLAY,Writing,782553
84.0134038925,84,31,PLAY,StillPlaying,255865
85.8601939678,85,32,PLAY,Writing,782553
88.0134239197,88,31,PLAY,StillPlaying,255865
89.4097158909,89,32,PLAY,Writing,782553
92.0133140087,92,31,PLAY,StillPlaying,323047
92.9312019348,92,32,PLAY,Writing,782553
95.5097858906,95,33,PLAY,Writing,782553
96.013258934,96,32,PLAY,StillPlaying,323047
99.1025419235,99,33,PLAY,Writing,1008699
100.01325798,100,32,PLAY,StillPlaying,323047
103.095057011,103,33,PLAY,Writing,1008699
104.012894869,104,32,PLAY,StillPlaying,323047
106.934973001,106,33,PLAY,Writing,1008699
108.012928963,108,32,PLAY,StillPlaying,378355
110.8700068,110,33,PLAY,Writing,1008699
112.013374805,112,32,PLAY,StillPlaying,378355
115.139246941,115,33,PLAY,Writing,1008699
116.012774944,116,32,PLAY,StillPlaying,378355
119.712652922,119,33,PLAY,Writing,1008699
120.012794971,120,32,PLAY,StillPlaying,509091
124.01343894,124,31,PLAY,StillPlaying,509091
124.086764812,124,32,PLAY,Writing,1008699
127.487156868,127,33,PLAY,Writing,782553
128.012873888,128,32,PLAY,StillPlaying,509091
131.392939806,131,33,PLAY,Writing,1008699
132.012923956,132,32,PLAY,StillPlaying,509091
135.218359947,135,33,PLAY,Writing,1008699
136.012798786,136,32,PLAY,StillPlaying,509091
139.459261894,139,33,PLAY,Writing,1008699
140.013287783,140,32,PLAY,StillPlaying,509091
144.013402939,144,31,PLAY,StillPlaying,509091
144.163553953,144,32,PLAY,Writing,1008699
147.755905867,147,33,PLAY,Writing,782553
148.013139009,148,32,PLAY,StillPlaying,509091
152.01343298,152,31,PLAY,StillPlaying,577751
152.167210817,152,32,PLAY,Writing,1008699
155.434911966,155,33,PLAY,Writing,782553
156.012818813,156,32,PLAY,StillPlaying,577751
159.504177809,159,33,PLAY,Writing,1008699
160.012865782,160,32,PLAY,StillPlaying,577751
163.10765481,163,33,PLAY,Writing,1008699
164.012932777,164,32,PLAY,StillPlaying,577751
167.714449883,167,33,PLAY,Writing,1008699
168.012853861,168,32,PLAY,StillPlaying,782553
171.550276995,171,33,PLAY,Writing,1008699
172.012830973,172,32,PLAY,StillPlaying,782553
175.035485983,175,33,PLAY,Writing,1008699
176.013660908,176,32,PLAY,StillPlaying,782553
179.418125868,179,33,PLAY,Writing,1008699
180.013373852,180,32,PLAY,StillPlaying,782553
183.57066679,183,33,PLAY,Writing,1008699
184.013026953,184,32,PLAY,StillPlaying,782553
188.012914896,188,31,PLAY,StillPlaying,782553
188.581844807,188,32,PLAY,Writing,1008699
191.813405991,191,33,PLAY,Writing,782553
192.012816906,192,32,PLAY,StillPlaying,782553
196.01292491,196,31,PLAY,StillPlaying,782553
196.109214783,196,32,PLAY,Writing,1008699
199.529203892,199,33,PLAY,Writing,782553
200.01322484,200,32,PLAY,StillPlaying,782553
204.012977839,204,31,PLAY,StillPlaying,782553
204.36131978,204,32,PLAY,Writing,1008699
207.954162836,207,33,PLAY,Writing,782553
208.012756824,208,32,PLAY,StillPlaying,782553
210.824061871,210,33,PLAY,Writing,1008699
212.013103008,212,32,PLAY,StillPlaying,782553
214.981825829,214,33,PLAY,Writing,1008699
216.01335597,216,32,PLAY,StillPlaying,782553
219.905720949,219,33,PLAY,Writing,1008699
220.013023853,220,32,PLAY,StillPlaying,782553
224.012947798,224,31,PLAY,StillPlaying,782553
224.860845804,224,32,PLAY,Writing,1008699
228.01312685,228,31,PLAY,StillPlaying,1008699
228.41630888,228,32,PLAY,Writing,782553
232.012969971,232,31,PLAY,StillPlaying,1008699
232.041271925,232,32,PLAY,Writing,782553
235.300179005,235,33,PLAY,Writing,782553
236.012899876,236,32,PLAY,StillPlaying,1008699
240.012983799,240,31,PLAY,StillPlaying,1008699
240.265356779,240,32,PLAY,Writing,1008699
243.782382011,243,33,PLAY,Writing,782553
