EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000743865966797,0,1,INITIAL_BUFFERING,Writing,45226
0.00602293014526,0,1,PLAY,InitialBuffering-Play,0
0.0104160308838,0,0,PLAY,StillPlaying,45226
0.262254953384,0,1,PLAY,Writing,45226
0.872228860855,0,2,PLAY,Writing,45226
1.35783791542,1,3,PLAY,Writing,45226
1.90954303741,1,4,PLAY,Writing,45226
2.48914599419,2,5,PLAY,Writing,45226
3.07843494415,3,6,PLAY,Writing,45226
3.68840289116,3,7,PLAY,Writing,45226
4.01197004318,4,6,PLAY,StillPlaying,45226
4.78105187416,4,7,PLAY,Writing,45226
5.19660401344,5,8,PLAY,Writing,45226
6.43249893188,6,9,PLAY,Writing,88783
7.3206319809,7,10,PLAY,Writing,88783
8.01254200935,8,9,PLAY,StillPlaying,45226
9.2619099617,9,10,PLAY,Writing,128503
11.0272328854,11,11,PLAY,Writing,128503
12.0120899677,12,10,PLAY,StillPlaying,45226
12.5081579685,12,11,PLAY,Writing,128503
13.8904230595,13,12,PLAY,Writing,128503
15.1050209999,15,13,PLAY,Writing,128503
16.0126399994,16,12,PLAY,StillPlaying,45226
16.65553689,16,13,PLAY,Writing,177437
18.2120919228,18,14,PLAY,Writing,177437
19.9594359398,19,15,PLAY,Writing,177437
20.0122458935,20,14,PLAY,StillPlaying,45226
22.9246048927,22,15,PLAY,Writing,217761
24.0126109123,24,14,PLAY,StillPlaying,45226
25.0379669666,25,15,PLAY,Writing,217761
27.9906439781,27,16,PLAY,Writing,217761
28.0121769905,28,15,PLAY,StillPlaying,45226
31.9450190067,31,16,PLAY,Writing,217761
32.0124740601,32,15,PLAY,StillPlaying,45226
34.5322809219,34,16,PLAY,Writing,217761
36.0122208595,36,15,PLAY,StillPlaying,45226
36.5319888592,36,16,PLAY,Writing,217761
39.0483560562,39,17,PLAY,Writing,217761
40.0121119022,40,16,PLAY,StillPlaying,88783
41.1022388935,41,17,PLAY,Writing,217761
43.2687199116,43,18,PLAY,Writing,217761
44.0129129887,44,17,PLAY,StillPlaying,88783
46.3562459946,46,18,PLAY,Writing,255865
48.0125830173,48,17,PLAY,StillPlaying,128503
49.7900810242,49,18,PLAY,Writing,255865
52.0121459961,52,17,PLAY,StillPlaying,128503
53.6652269363,53,18,PLAY,Writing,255865
56.0121250153,56,17,PLAY,StillPlaying,128503
59.4696068764,59,18,PLAY,Writing,255865
60.0127520561,60,17,PLAY,StillPlaying,128503
63.7411680222,63,18,PLAY,Writing,255865
64.0119609833,64,17,PLAY,StillPlaying,128503
67.5247118473,67,18,PLAY,Writing,255865
68.0120520592,68,17,PLAY,StillPlaying,177437
69.6578218937,69,18,PLAY,Writing,255865
71.171642065,71,19,PLAY,Writing,255865
72.0130829811,72,18,PLAY,StillPlaying,177437
72.4391639233,72,19,PLAY,Writing,255865
73.7001099586,73,20,PLAY,Writing,255865
75.620759964,75,21,PLAY,Writing,323047
76.0120339394,76,20,PLAY,StillPlaying,177437
76.847274065,76,21,PLAY,Writing,323047
78.5728769302,78,22,PLAY,Writing,323047
80.0123598576,80,21,PLAY,StillPlaying,217761
80.0372779369,80,22,PLAY,Writing,323047
81.9742980003,81,23,PLAY,Writing,323047
83.33842206,83,24,PLAY,Writing,378355
84.0120010376,84,23,PLAY,StillPlaying,217761
85.0492608547,85,24,PLAY,Writing,378355
87.9543690681,87,25,PLAY,Writing,378355
88.0123360157,88,24,PLAY,StillPlaying,217761
90.8036019802,90,25,PLAY,Writing,509091
92.0128028393,92,24,PLAY,StillPlaying,217761
93.4317469597,93,25,PLAY,Writing,509091
96.0121409893,96,24,PLAY,StillPlaying,217761
98.3668949604,98,25,PLAY,Writing,509091
100.01273489,100,24,PLAY,StillPlaying,217761
101.41008997,101,25,PLAY,Writing,509091
104.012134075,104,24,PLAY,StillPlaying,217761
105.203465939,105,25,PLAY,Writing,509091
108.012619972,108,24,PLAY,StillPlaying,217761
108.408405066,108,25,PLAY,Writing,509091
111.625314951,111,26,PLAY,Writing,509091
112.012512922,112,25,PLAY,StillPlaying,217761
114.60383296,114,26,PLAY,Writing,509091
116.012075901,116,25,PLAY,StillPlaying,255865
117.470371962,117,26,PLAY,Writing,509091
119.269563913,119,27,PLAY,Writing,509091
120.012057066,120,26,PLAY,StillPlaying,255865
121.372689962,121,27,PLAY,Writing,509091
123.373632908,123,28,PLAY,Writing,509091
124.012102842,124,27,PLAY,StillPlaying,255865
127.01610899,127,28,PLAY,Writing,577751
128.012138844,128,27,PLAY,StillPlaying,255865
131.585172892,131,28,PLAY,Writing,577751
132.012582064,132,27,PLAY,StillPlaying,255865
136.012157917,136,26,PLAY,StillPlaying,255865
136.498887062,136,27,PLAY,Writing,577751
139.709658861,139,28,PLAY,Writing,509091
140.012460947,140,27,PLAY,StillPlaying,255865
142.755607843,142,28,PLAY,Writing,577751
144.01222086,144,27,PLAY,StillPlaying,255865
145.794009924,145,28,PLAY,Writing,577751
148.01291585,148,27,PLAY,StillPlaying,255865
148.876970053,148,28,PLAY,Writing,577751
152.012650967,152,27,PLAY,StillPlaying,255865
152.289968014,152,28,PLAY,Writing,577751
156.012111902,156,27,PLAY,StillPlaying,323047
156.801882029,156,28,PLAY,Writing,577751
160.012147903,160,27,PLAY,StillPlaying,323047
160.184880972,160,28,PLAY,Writing,577751
162.969745874,162,29,PLAY,Writing,577751
164.012971878,164,28,PLAY,StillPlaying,323047
165.609730005,165,29,PLAY,Writing,577751
168.012819052,168,28,PLAY,StillPlaying,323047
168.536746025,168,29,PLAY,Writing,577751
171.421401978,171,30,PLAY,Writing,577751
172.012714863,172,29,PLAY,StillPlaying,323047
175.309695005,175,30,PLAY,Writing,782553
176.012591839,176,29,PLAY,StillPlaying,378355
178.807779074,178,30,PLAY,Writing,782553
180.01214695,180,29,PLAY,StillPlaying,378355
182.327785969,182,30,PLAY,Writing,782553
184.012115955,184,29,PLAY,StillPlaying,378355
186.504269838,186,30,PLAY,Writing,782553
188.012115955,188,29,PLAY,StillPlaying,509091
192.012575865,192,28,PLAY,StillPlaying,509091
193.777631044,193,29,PLAY,Writing,782553
196.01257205,196,28,PLAY,StillPlaying,509091
199.374927044,199,29,PLAY,Writing,577751
200.012593031,200,28,PLAY,StillPlaying,509091
203.345761061,203,29,PLAY,Writing,577751
204.012117863,204,28,PLAY,StillPlaying,509091
208.012109041,208,27,PLAY,StillPlaying,509091
212.012155056,212,26,PLAY,StillPlaying,509091
213.189691067,213,27,PLAY,Writing,577751
216.012125015,216,26,PLAY,StillPlaying,509091
220.012665033,220,25,PLAY,StillPlaying,509091
224.012650967,224,24,PLAY,StillPlaying,509091
228.01213789,228,23,PLAY,StillPlaying,509091
228.697701931,228,24,PLAY,Writing,509091
232.012593985,232,23,PLAY,StillPlaying,509091
236.012539864,236,22,PLAY,StillPlaying,577751
240.012595892,240,21,PLAY,StillPlaying,577751
240.068104982,240,22,PLAY,Writing,378355
244.012623072,244,21,PLAY,StillPlaying,577751
246.341767073,246,22,PLAY,Writing,323047
248.012135983,248,21,PLAY,StillPlaying,509091
252.012124062,252,20,PLAY,StillPlaying,577751
256.012130022,256,19,PLAY,StillPlaying,577751
256.345854044,256,20,PLAY,Writing,323047
260.012630939,260,19,PLAY,StillPlaying,577751
264.012698889,264,18,PLAY,StillPlaying,577751
264.612141848,264,19,PLAY,Writing,323047
268.012085915,268,18,PLAY,StillPlaying,577751
272.012142897,272,17,PLAY,StillPlaying,577751
273.793709993,273,18,PLAY,Writing,255865
