EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000757217407227,0,1,INITIAL_BUFFERING,Writing,45226
0.00612616539001,0,1,PLAY,InitialBuffering-Play,0
0.00795817375183,0,0,PLAY,StillPlaying,45226
0.192136049271,0,1,PLAY,Writing,45226
0.377337217331,0,2,PLAY,Writing,45226
0.610675096512,0,3,PLAY,Writing,45226
0.746417999268,0,4,PLAY,Writing,45226
0.996660232544,0,5,PLAY,Writing,45226
1.18094301224,1,6,PLAY,Writing,45226
1.39402508736,1,7,PLAY,Writing,45226
1.60119915009,1,8,PLAY,Writing,45226
1.95670819283,1,9,PLAY,Writing,88783
2.39373922348,2,10,PLAY,Writing,88783
3.03555607796,3,11,PLAY,Writing,128503
3.64075303078,3,12,PLAY,Writing,128503
4.01180410385,4,11,PLAY,StillPlaying,45226
4.23180317879,4,12,PLAY,Writing,128503
4.81336307526,4,13,PLAY,Writing,128503
5.46384906769,5,14,PLAY,Writing,177437
6.17734003067,6,15,PLAY,Writing,177437
7.04148316383,7,16,PLAY,Writing,217761
7.86231303215,7,17,PLAY,Writing,217761
8.01179599762,8,16,PLAY,StillPlaying,45226
8.71816110611,8,17,PLAY,Writing,217761
9.72287011147,9,18,PLAY,Writing,217761
10.9488050938,10,19,PLAY,Writing,255865
11.8261871338,11,20,PLAY,Writing,255865
12.0117800236,12,19,PLAY,StillPlaying,45226
12.8511371613,12,20,PLAY,Writing,323047
13.6101310253,13,21,PLAY,Writing,323047
14.5039460659,14,22,PLAY,Writing,323047
16.012253046,16,21,PLAY,StillPlaying,45226
20.0124740601,20,20,PLAY,StillPlaying,45226
24.011931181,24,19,PLAY,StillPlaying,45226
28.0124242306,28,18,PLAY,StillPlaying,45226
32.0119822025,32,17,PLAY,StillPlaying,45226
36.0119900703,36,16,PLAY,StillPlaying,88783
37.0534331799,37,17,PLAY,Writing,323047
38.0255811214,38,18,PLAY,Writing,217761
39.0115761757,39,19,PLAY,Writing,255865
40.011890173,40,18,PLAY,StillPlaying,88783
40.1977422237,40,19,PLAY,Writing,255865
41.3722631931,41,20,PLAY,Writing,255865
42.891685009,42,21,PLAY,Writing,323047
44.0122611523,44,20,PLAY,StillPlaying,128503
44.1640360355,44,21,PLAY,Writing,323047
45.610943079,45,22,PLAY,Writing,323047
47.2167780399,47,23,PLAY,Writing,323047
48.0118131638,48,22,PLAY,StillPlaying,128503
49.0419170856,49,23,PLAY,Writing,378355
50.9962151051,50,24,PLAY,Writing,378355
52.0119211674,52,23,PLAY,StillPlaying,128503
52.3695750237,52,24,PLAY,Writing,378355
53.905408144,53,25,PLAY,Writing,378355
56.0119001865,56,24,PLAY,StillPlaying,128503
56.163105011,56,25,PLAY,Writing,509091
57.9064280987,57,26,PLAY,Writing,509091
60.0119271278,60,25,PLAY,StillPlaying,177437
60.0407180786,60,26,PLAY,Writing,509091
62.0106940269,61,27,PLAY,Writing,509091
63.882568121,63,28,PLAY,Writing,509091
64.0117781162,64,27,PLAY,StillPlaying,177437
65.6893460751,65,28,PLAY,Writing,577751
68.0119302273,68,27,PLAY,StillPlaying,217761
68.3719830513,68,28,PLAY,Writing,577751
71.1086130142,71,29,PLAY,Writing,577751
72.0123209953,72,28,PLAY,StillPlaying,217761
73.8918991089,73,29,PLAY,Writing,577751
76.011947155,76,28,PLAY,StillPlaying,217761
80.0119390488,80,27,PLAY,StillPlaying,217761
82.0248570442,82,28,PLAY,Writing,577751
84.0119230747,84,27,PLAY,StillPlaying,255865
88.0123450756,88,26,PLAY,StillPlaying,255865
92.0119621754,92,25,PLAY,StillPlaying,323047
96.0124371052,96,24,PLAY,StillPlaying,323047
96.8665881157,96,25,PLAY,Writing,577751
98.5727081299,98,26,PLAY,Writing,509091
100.012431145,100,25,PLAY,StillPlaying,323047
100.683617115,100,26,PLAY,Writing,509091
102.680569172,102,27,PLAY,Writing,509091
104.011922121,104,26,PLAY,StillPlaying,323047
104.999622107,104,27,PLAY,Writing,509091
107.383292198,107,28,PLAY,Writing,509091
108.01181221,108,27,PLAY,StillPlaying,217761
110.056071997,110,28,PLAY,Writing,577751
111.719911098,111,29,PLAY,Writing,577751
112.011820078,112,28,PLAY,StillPlaying,255865
113.970214128,113,29,PLAY,Writing,577751
116.011943102,116,28,PLAY,StillPlaying,255865
116.220109224,116,29,PLAY,Writing,577751
118.477156162,118,30,PLAY,Writing,577751
120.012364149,120,29,PLAY,StillPlaying,255865
