EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000821113586426,0,1,INITIAL_BUFFERING,Writing,45226
0.00662302970886,0,1,PLAY,InitialBuffering-Play,0
0.00863718986511,0,0,PLAY,StillPlaying,45226
0.0762910842896,0,1,PLAY,Writing,45226
0.214989185333,0,2,PLAY,Writing,88783
0.362785100937,0,3,PLAY,Writing,88783
0.538239002228,0,4,PLAY,Writing,88783
0.689718008041,0,5,PLAY,Writing,88783
0.794317007065,0,6,PLAY,Writing,88783
0.947628974915,0,7,PLAY,Writing,88783
1.0887169838,1,8,PLAY,Writing,88783
1.20173716545,1,9,PLAY,Writing,88783
1.33526802063,1,10,PLAY,Writing,88783
1.50874018669,1,11,PLAY,Writing,128503
1.68208503723,1,12,PLAY,Writing,128503
1.85559010506,1,13,PLAY,Writing,128503
2.07839107513,2,14,PLAY,Writing,177437
2.2700381279,2,15,PLAY,Writing,177437
2.52930498123,2,16,PLAY,Writing,217761
2.78698611259,2,17,PLAY,Writing,217761
3.03252100945,3,18,PLAY,Writing,217761
3.32613897324,3,19,PLAY,Writing,255865
3.68228912354,3,20,PLAY,Writing,255865
4.01326417923,4,19,PLAY,StillPlaying,45226
4.1607670784,4,20,PLAY,Writing,323047
4.43563604355,4,21,PLAY,Writing,323047
4.76487803459,4,22,PLAY,Writing,323047
5.01472115517,5,23,PLAY,Writing,323047
5.31404304504,5,24,PLAY,Writing,378355
5.75502204895,5,25,PLAY,Writing,378355
6.52472615242,6,26,PLAY,Writing,509091
7.10236811638,7,27,PLAY,Writing,509091
7.81077313423,7,28,PLAY,Writing,509091
8.0132060051,8,27,PLAY,StillPlaying,88783
8.59260416031,8,28,PLAY,Writing,577751
9.37591099739,9,29,PLAY,Writing,577751
10.1099381447,10,30,PLAY,Writing,577751
11.15625,11,31,PLAY,Writing,782553
12.0130259991,12,30,PLAY,StillPlaying,88783
12.1834130287,12,31,PLAY,Writing,782553
13.2336871624,13,32,PLAY,Writing,782553
14.3569500446,14,33,PLAY,Writing,782553
15.660145998,15,34,PLAY,Writing,1008699
16.0132670403,16,33,PLAY,StillPlaying,88783
16.8242311478,16,34,PLAY,Writing,1008699
18.2616400719,18,35,PLAY,Writing,1008699
19.4736971855,19,36,PLAY,Writing,1207152
20.0128970146,20,35,PLAY,StillPlaying,88783
21.2372310162,21,36,PLAY,Writing,1207152
22.7061190605,22,37,PLAY,Writing,1207152
24.0133581161,24,36,PLAY,StillPlaying,88783
24.0523531437,24,37,PLAY,Writing,1207152
25.3423101902,25,38,PLAY,Writing,1207152
28.0137741566,28,37,PLAY,StillPlaying,88783
28.8883931637,28,38,PLAY,Writing,1473801
31.0006129742,30,39,PLAY,Writing,1473801
32.0128881931,32,38,PLAY,StillPlaying,88783
33.0905210972,33,39,PLAY,Writing,1473801
34.0822000504,34,40,PLAY,Writing,1473801
36.0133731365,36,39,PLAY,StillPlaying,88783
36.4155101776,36,40,PLAY,Writing,2087347
40.0133841038,40,39,PLAY,StillPlaying,88783
40.7155351639,40,40,PLAY,Writing,2087347
44.0128800869,44,39,PLAY,StillPlaying,128503
44.6777160168,44,40,PLAY,Writing,2087347
46.7562150955,46,41,PLAY,Writing,2087347
48.0133421421,48,40,PLAY,StillPlaying,128503
49.7627739906,49,41,PLAY,Writing,2087347
52.0133681297,52,40,PLAY,StillPlaying,128503
52.4232881069,52,41,PLAY,Writing,2087347
54.9147751331,54,42,PLAY,Writing,2087347
56.0133609772,56,41,PLAY,StillPlaying,177437
56.5809881687,56,42,PLAY,Writing,2087347
58.7436649799,58,43,PLAY,Writing,2087347
60.0133349895,60,42,PLAY,StillPlaying,177437
61.5945370197,61,43,PLAY,Writing,2409742
63.983025074,63,44,PLAY,Writing,2409742
64.0126600266,64,43,PLAY,StillPlaying,217761
66.146499157,66,44,PLAY,Writing,2409742
68.0129921436,68,43,PLAY,StillPlaying,217761
68.8309481144,68,44,PLAY,Writing,2409742
71.9545609951,71,45,PLAY,Writing,2409742
72.0132231712,72,44,PLAY,StillPlaying,217761
75.2370421886,75,45,PLAY,Writing,2944291
76.0136551857,76,44,PLAY,StillPlaying,255865
78.5479590893,78,45,PLAY,Writing,2944291
80.0133531094,80,44,PLAY,StillPlaying,255865
81.6791419983,81,45,PLAY,Writing,2944291
84.0133969784,84,44,PLAY,StillPlaying,323047
85.241959095,85,45,PLAY,Writing,2944291
88.0133781433,88,44,PLAY,StillPlaying,323047
89.2574529648,89,45,PLAY,Writing,2944291
92.0133581161,92,44,PLAY,StillPlaying,323047
94.0016441345,93,45,PLAY,Writing,2944291
96.0133960247,96,44,PLAY,StillPlaying,323047
98.4018511772,98,45,PLAY,Writing,2944291
100.013322115,100,44,PLAY,StillPlaying,378355
104.013339996,104,43,PLAY,StillPlaying,378355
108.012924194,108,42,PLAY,StillPlaying,509091
111.21167016,111,43,PLAY,Writing,2944291
112.012642145,112,42,PLAY,StillPlaying,509091
116.013341188,116,41,PLAY,StillPlaying,509091
120.013394117,120,40,PLAY,StillPlaying,577751
120.539401054,120,41,PLAY,Writing,2409742
124.012930155,124,40,PLAY,StillPlaying,577751
128.013401031,128,39,PLAY,StillPlaying,577751
129.647011042,129,40,PLAY,Writing,2087347
132.013403177,132,39,PLAY,StillPlaying,782553
136.01335001,136,38,PLAY,StillPlaying,782553
138.18087697,138,39,PLAY,Writing,2087347
140.013386011,140,38,PLAY,StillPlaying,782553
144.01289916,144,37,PLAY,StillPlaying,782553
144.68991518,144,38,PLAY,Writing,1473801
147.14802599,147,39,PLAY,Writing,1473801
148.013403177,148,38,PLAY,StillPlaying,1008699
152.013391972,152,37,PLAY,StillPlaying,1008699
152.290609121,152,38,PLAY,Writing,1473801
156.012895107,156,37,PLAY,StillPlaying,1008699
157.392004967,157,38,PLAY,Writing,1473801
160.013345003,160,37,PLAY,StillPlaying,1207152
160.353619099,160,38,PLAY,Writing,1473801
163.830348969,163,39,PLAY,Writing,1473801
164.013225079,164,38,PLAY,StillPlaying,1207152
168.012928009,168,37,PLAY,StillPlaying,1207152
172.01288414,172,36,PLAY,StillPlaying,1207152
174.918263197,174,37,PLAY,Writing,1473801
176.01335597,176,36,PLAY,StillPlaying,1207152
179.563062191,179,37,PLAY,Writing,1207152
180.012871027,180,36,PLAY,StillPlaying,1473801
183.30410409,183,37,PLAY,Writing,1207152
184.012854099,184,36,PLAY,StillPlaying,1473801
186.388476133,186,37,PLAY,Writing,1207152
188.012928963,188,36,PLAY,StillPlaying,1473801
189.60335207,189,37,PLAY,Writing,1207152
191.51158309,191,38,PLAY,Writing,1207152
192.012856007,192,37,PLAY,StillPlaying,1473801
196.013362169,196,36,PLAY,StillPlaying,2087347
200.014544964,200,35,PLAY,StillPlaying,2087347
204.013362169,204,34,PLAY,StillPlaying,2087347
208.013362169,208,33,PLAY,StillPlaying,2087347
212.013429165,212,32,PLAY,StillPlaying,2087347
212.65242815,212,33,PLAY,Writing,1473801
216.013453007,216,32,PLAY,StillPlaying,2087347
220.012897968,220,31,PLAY,StillPlaying,2087347
224.013266087,224,30,PLAY,StillPlaying,2087347
228.013436079,228,29,PLAY,StillPlaying,2087347
232.01337719,232,28,PLAY,StillPlaying,2409742
235.195645094,235,29,PLAY,Writing,1008699
236.013393164,236,28,PLAY,StillPlaying,2409742
240.013041019,240,27,PLAY,StillPlaying,2409742
240.085126162,240,28,PLAY,Writing,577751
244.013125181,244,27,PLAY,StillPlaying,2409742
244.945549965,244,28,PLAY,Writing,577751
