EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000925064086914,0,1,INITIAL_BUFFERING,Writing,45226
0.00697994232178,0,1,PLAY,InitialBuffering-Play,0
0.00901508331299,0,0,PLAY,StillPlaying,45226
0.301830053329,0,1,PLAY,Writing,45226
0.937252998352,0,2,PLAY,Writing,45226
1.37346410751,1,3,PLAY,Writing,45226
2.23598694801,2,4,PLAY,Writing,88783
3.25623393059,3,5,PLAY,Writing,128503
4.01066112518,4,4,PLAY,StillPlaying,45226
4.21322011948,4,5,PLAY,Writing,177437
5.15049409866,5,6,PLAY,Writing,177437
7.19760799408,7,7,PLAY,Writing,217761
8.01064395905,8,6,PLAY,StillPlaying,45226
9.87033605576,9,7,PLAY,Writing,323047
12.0113699436,12,6,PLAY,StillPlaying,45226
12.3114309311,12,7,PLAY,Writing,323047
15.7292780876,15,8,PLAY,Writing,323047
16.0106611252,16,7,PLAY,StillPlaying,88783
19.3875780106,19,8,PLAY,Writing,577751
20.011136055,20,7,PLAY,StillPlaying,128503
22.228718996,22,8,PLAY,Writing,577751
24.010710001,24,7,PLAY,StillPlaying,177437
28.0107829571,28,6,PLAY,StillPlaying,177437
30.6306240559,30,7,PLAY,Writing,509091
32.0107591152,32,6,PLAY,StillPlaying,217761
32.9007179737,32,7,PLAY,Writing,378355
35.6596860886,35,8,PLAY,Writing,378355
36.0106990337,36,7,PLAY,StillPlaying,323047
38.1930749416,38,8,PLAY,Writing,323047
40.0107650757,40,7,PLAY,StillPlaying,323047
40.4736440182,40,8,PLAY,Writing,323047
43.5251400471,43,9,PLAY,Writing,378355
44.0106461048,44,8,PLAY,StillPlaying,323047
48.0108070374,48,7,PLAY,StillPlaying,577751
48.0929009914,48,8,PLAY,Writing,378355
52.0112371445,52,7,PLAY,StillPlaying,577751
54.0592551231,54,8,PLAY,Writing,577751
56.0107281208,56,7,PLAY,StillPlaying,509091
56.7229690552,56,8,PLAY,Writing,577751
58.4008641243,58,9,PLAY,Writing,378355
59.5924320221,59,10,PLAY,Writing,378355
60.0106790066,60,9,PLAY,StillPlaying,378355
61.815253973,61,10,PLAY,Writing,577751
63.9587979317,63,11,PLAY,Writing,509091
64.0106351376,64,10,PLAY,StillPlaying,378355
67.3649139404,67,11,PLAY,Writing,577751
68.0107600689,68,10,PLAY,StillPlaying,323047
72.0108361244,72,9,PLAY,StillPlaying,323047
72.9639379978,72,10,PLAY,Writing,577751
76.0107929707,76,9,PLAY,StillPlaying,378355
80.0107650757,80,8,PLAY,StillPlaying,378355
80.8121550083,80,9,PLAY,Writing,577751
84.0107939243,84,8,PLAY,StillPlaying,577751
85.9646611214,85,9,PLAY,Writing,378355
88.01080513,88,8,PLAY,StillPlaying,577751
90.8513169289,90,9,PLAY,Writing,378355
92.0107169151,92,8,PLAY,StillPlaying,378355
93.7167959213,93,9,PLAY,Writing,323047
96.0112569332,96,8,PLAY,StillPlaying,378355
96.2232189178,96,9,PLAY,Writing,323047
100.011287928,100,8,PLAY,StillPlaying,577751
100.769453049,100,9,PLAY,Writing,378355
104.010934114,104,8,PLAY,StillPlaying,509091
105.263271093,105,9,PLAY,Writing,378355
106.641951084,106,10,PLAY,Writing,323047
108.010783911,108,9,PLAY,StillPlaying,577751
108.169382095,108,10,PLAY,Writing,577751
110.732031107,110,11,PLAY,Writing,577751
112.01124692,112,10,PLAY,StillPlaying,577751
113.614135981,113,11,PLAY,Writing,782553
116.010788918,116,10,PLAY,StillPlaying,577751
116.315685987,116,11,PLAY,Writing,1008699
120.010826111,120,10,PLAY,StillPlaying,378355
122.20927,122,11,PLAY,Writing,1473801
124.010801077,124,10,PLAY,StillPlaying,378355
125.599242926,125,11,PLAY,Writing,1207152
128.010837078,128,10,PLAY,StillPlaying,323047
128.628752947,128,11,PLAY,Writing,1008699
132.010864019,132,10,PLAY,StillPlaying,323047
132.412524939,132,11,PLAY,Writing,1008699
136.010851145,136,10,PLAY,StillPlaying,378355
139.153042078,139,11,PLAY,Writing,1473801
140.010797977,140,10,PLAY,StillPlaying,378355
144.012021065,144,9,PLAY,StillPlaying,323047
146.596671104,146,10,PLAY,Writing,1008699
148.010786057,148,9,PLAY,StillPlaying,577751
152.010852098,152,8,PLAY,StillPlaying,577751
155.887643099,155,9,PLAY,Writing,1207152
156.010627985,156,8,PLAY,StillPlaying,782553
160.010838032,160,7,PLAY,StillPlaying,1008699
160.309706926,160,8,PLAY,Writing,782553
163.886073112,163,9,PLAY,Writing,577751
164.011109114,164,8,PLAY,StillPlaying,1473801
165.680144072,165,9,PLAY,Writing,577751
167.676218033,167,10,PLAY,Writing,577751
168.011127949,168,9,PLAY,StillPlaying,1207152
169.275025129,169,10,PLAY,Writing,577751
172.011276007,172,9,PLAY,StillPlaying,1008699
172.70836997,172,10,PLAY,Writing,1207152
175.706083059,175,11,PLAY,Writing,1207152
176.010628939,176,10,PLAY,StillPlaying,1008699
179.612462044,179,11,PLAY,Writing,1473801
180.011219025,180,10,PLAY,StillPlaying,1473801
182.204520941,182,11,PLAY,Writing,1473801
184.010787964,184,10,PLAY,StillPlaying,1008699
188.01081109,188,9,PLAY,StillPlaying,1207152
192.010824919,192,8,PLAY,StillPlaying,782553
193.188483953,193,9,PLAY,Writing,1473801
196.010838985,196,8,PLAY,StillPlaying,577751
196.24259901,196,9,PLAY,Writing,1008699
199.147036076,199,10,PLAY,Writing,1008699
200.010693073,200,9,PLAY,StillPlaying,577751
202.591895103,202,10,PLAY,Writing,1008699
204.011228085,204,9,PLAY,StillPlaying,577751
207.231064081,207,10,PLAY,Writing,1008699
208.011219978,208,9,PLAY,StillPlaying,577751
212.010851145,212,8,PLAY,StillPlaying,1207152
212.28499198,212,9,PLAY,Writing,1008699
215.459419966,215,10,PLAY,Writing,782553
216.011218071,216,9,PLAY,StillPlaying,1207152
218.65833497,218,10,PLAY,Writing,1008699
220.011062145,220,9,PLAY,StillPlaying,1473801
221.398906946,221,10,PLAY,Writing,1008699
224.010816097,224,9,PLAY,StillPlaying,1473801
227.067687988,227,10,PLAY,Writing,1008699
228.010864019,228,9,PLAY,StillPlaying,1473801
232.010837078,232,8,PLAY,StillPlaying,1008699
234.35035491,234,9,PLAY,Writing,1008699
236.010801077,236,8,PLAY,StillPlaying,1008699
238.845056057,238,9,PLAY,Writing,782553
240.010745049,240,8,PLAY,StillPlaying,1008699
242.060889959,242,9,PLAY,Writing,782553
244.011497974,244,8,PLAY,StillPlaying,1008699
244.593992949,244,9,PLAY,Writing,782553
246.348565102,246,10,PLAY,Writing,577751
248.010895014,248,9,PLAY,StillPlaying,1008699
249.336776018,249,10,PLAY,Writing,1008699
251.669064045,251,11,PLAY,Writing,1008699
252.010633945,252,10,PLAY,StillPlaying,782553
256.010812998,256,9,PLAY,StillPlaying,1008699
256.040672064,256,10,PLAY,Writing,1207152
259.11175704,259,11,PLAY,Writing,1207152
260.011229038,260,10,PLAY,StillPlaying,1008699
262.603249073,262,11,PLAY,Writing,1207152
264.011183023,264,10,PLAY,StillPlaying,1008699
266.861017942,266,11,PLAY,Writing,1207152
268.011297941,268,10,PLAY,StillPlaying,1008699
272.01109004,272,9,PLAY,StillPlaying,782553
273.308480024,273,10,PLAY,Writing,1473801
276.01126194,276,9,PLAY,StillPlaying,782553
277.846091032,277,10,PLAY,Writing,1008699
280.011656046,280,9,PLAY,StillPlaying,782553
280.700350046,280,10,PLAY,Writing,1008699
282.908488989,282,11,PLAY,Writing,1008699
284.011215925,284,10,PLAY,StillPlaying,577751
